Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
08/30/2024,Dubuque,3-0,90:00,0,0.0,0,0.0,1,0,0,1,8
09/01/2024,Coe,0-3,90:00,3,1.5,3,0.5,0,1,0,0,9
09/06/2024,Mt. Mercy,1-2,90:00,2,1.67,6,0.75,0,1,0,0,15
09/08/2024,Saint Mary's (MN),0-0,90:00,0,1.25,2,1.0,0,0,1,1,4
09/11/2024,Simpson,4-0,90:00,0,1.0,0,0.0,1,0,0,1,0
09/14/2024,Benedictine (IL),0-4,90:00,4,1.5,1,0.2,0,1,0,0,21
09/28/2024,Lake Forest,4-0,90:00,0,1.29,1,1.0,1,0,0,1,3
10/02/2024,Knox,0-2,90:00,2,1.38,4,0.667,0,1,0,0,15
10/05/2024,Ripon,1-2,90:00,2,1.44,9,0.818,0,1,0,0,15
10/06/2024,Edgewood College,1-0,90:00,0,1.3,1,1.0,1,0,0,1,1
10/12/2024,Illinois Col.,0-1,90:00,1,1.27,4,0.8,0,1,0,0,7
10/19/2024,Augustana (IL),1-1,90:00,1,1.25,3,0.75,0,0,1,0,7
10/22/2024,Cornell College,0-5,90:00,5,1.54,10,0.667,0,1,0,0,24
10/26/2024,Beloit,0-1,90:00,1,1.5,5,0.833,0,1,0,0,11
10/30/2024,Monmouth (IL),1-1,90:00,1,1.47,10,0.909,0,0,1,0,23
11/02/2024,Lawrence,6-0,90:00,0,1.38,5,1.0,1,0,0,1,6
11/08/2024,Lawrence,1-0,90:00,0,1.29,0,0.0,1,0,0,1,1
Totals,,-,1530,22,1.29,64,0.744,6,8,3,7,170
Grinnell,,-,1530:00,23,1.35,63,0.733,8,6,3,7,159
