Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
08/30/2024,vs Dubuque,0-3,0,0,0,8,0.0,0,0.0,0-0,0,0-0,990
09/01/2024,vs Coe,3-0,3,2,8,9,0.333,7,0.778,0-0,1,0-0,990
09/06/2024,vs Mt. Mercy,2-1,2,1,5,15,0.133,8,0.533,0-0,1,1-1,990
09/08/2024,at Saint Mary's (MN),0-0,0,0,0,4,0.0,2,0.5,0-0,0,0-0,990
09/11/2024,vs Simpson,0-4,0,0,0,0,0.0,0,0.0,0-0,0,0-0,990
09/14/2024,vs Benedictine (IL),4-0,4,2,10,21,0.19,5,0.238,1-0,1,0-0,990
09/28/2024,vs Lake Forest,0-4,0,0,0,3,0.0,1,0.333,1-0,0,0-0,990
10/02/2024,vs Knox,2-0,2,2,6,15,0.133,6,0.4,0-0,1,0-0,990
10/05/2024,at Ripon,2-1,2,1,5,15,0.133,11,0.733,1-0,1,0-0,990
10/06/2024,at Edgewood College,0-1,0,0,0,1,0.0,1,1.0,0-0,0,0-0,990
10/12/2024,at Illinois Col.,1-0,1,0,2,7,0.143,5,0.714,1-0,1,0-0,990
10/19/2024,at Augustana (IL),1-1,1,0,2,7,0.143,4,0.571,0-0,0,0-0,990
10/22/2024,vs Cornell College,5-0,5,3,13,24,0.208,15,0.625,0-0,1,0-0,990
10/26/2024,vs Beloit,1-0,1,0,2,11,0.091,6,0.545,1-0,1,0-0,990
10/30/2024,at Monmouth (IL),1-1,1,0,2,23,0.043,11,0.478,0-0,0,0-0,990
11/02/2024,at Lawrence,0-6,0,0,0,6,0.0,5,0.833,0-0,0,0-0,990
11/08/2024,at Lawrence,0-1,0,0,0,1,0.0,0,0.0,0-0,0,0-0,990
Total,,22-23,22,11,55,170,0.129,87,0.512,5-0,8,1-1,16830
Opponent,,-,23,19,65,159,0.145,92,0.579,9-0,6,-,16832
