Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
08/30/2024,Dubuque,0-3,90:00,3,3.0,6,0.667,0,1,0,0,23
09/01/2024,Coe,3-0,90:00,0,1.5,0,0.0,1,0,0,1,0
09/06/2024,Mt. Mercy,2-1,90:00,1,1.33,7,0.875,1,0,0,0,12
09/08/2024,Saint Mary's (MN),0-0,90:00,0,1.0,3,1.0,0,0,1,1,6
09/11/2024,Simpson,0-4,90:00,4,1.6,4,0.5,0,1,0,0,16
09/14/2024,Benedictine (IL),4-0,90:00,0,1.33,0,0.0,1,0,0,1,2
09/28/2024,Lake Forest,0-4,90:00,4,1.71,6,0.6,0,1,0,0,14
10/02/2024,Knox,2-0,90:00,0,1.5,1,1.0,1,0,0,1,3
10/05/2024,Ripon,2-1,90:00,1,1.44,1,0.5,1,0,0,0,5
10/06/2024,Edgewood College,0-1,90:00,1,1.4,6,0.857,0,1,0,0,9
10/12/2024,Illinois Col.,1-0,90:00,0,1.27,4,1.0,1,0,0,1,12
10/19/2024,Augustana (IL),1-1,90:00,1,1.25,6,0.857,0,0,1,0,11
10/22/2024,Cornell College,5-0,90:00,0,1.15,1,1.0,1,0,0,1,1
10/26/2024,Beloit,1-0,90:00,0,1.07,1,1.0,1,0,0,1,2
10/30/2024,Monmouth (IL),1-1,90:00,1,1.07,3,0.75,0,0,1,0,9
11/02/2024,Lawrence,0-6,90:00,6,1.38,6,0.5,0,1,0,0,21
11/08/2024,Lawrence,0-1,90:00,1,1.35,8,0.889,0,1,0,0,13
Totals,,-,1530,23,1.35,63,0.733,8,6,3,7,159
Opponent,,-,1530:00,22,1.29,64,0.744,6,8,3,7,170
