Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2015,Simpson,1-2,101:15,2,1.78,4,0.667,0,1,0,0,16
9/4/2015,Crown College,5-0,90:00,0,0.94,1,1.0,1,0,0,1,2
9/9/2015,"Dubuque, Univ. of",0-1,90:00,1,0.96,5,0.833,0,1,0,0,16
9/12/2015,Carleton College,0-1,90:00,1,0.97,5,0.833,0,1,0,0,12
9/13/2015,Hamline University,0-1,90:00,1,0.98,0,0.0,0,1,0,0,5
9/15/2015,Cornell College,2-0,90:00,0,0.82,2,1.0,1,0,0,1,4
9/16/2015,Buena Vista,4-0,72:43,0,0.72,1,1.0,1,0,0,1,2
9/19/2015,Knox College,2-3,90:00,3,1.01,5,0.625,0,1,0,0,13
9/26/2015,Ripon,5-0,90:00,0,0.9,1,1.0,1,0,0,1,2
10/3/2015,Lake Forest,1-2,90:00,2,1.01,3,0.6,0,1,0,0,8
10/4/2015,Carroll University,3-1,90:00,1,1.01,3,0.75,1,0,0,0,0
10/10/2015,Monmouth (IL),1-0,90:00,0,0.92,2,1.0,1,0,0,1,5
10/17/2015,Lawrence University,1-0,90:00,0,0.85,6,1.0,1,0,0,1,11
10/18/2015,St. Norbert College,1-2,94:11,2,0.93,4,0.667,0,1,0,0,6
10/24/2015,Illinois College,3-2,99:08,2,0.99,1,0.333,1,0,0,0,7
10/29/2015,Coe,3-0,90:00,0,0.93,3,1.0,1,0,0,1,5
10/31/2015,Beloit,10-0,90:00,0,0.88,2,1.0,1,0,0,1,3
Totals,,-,1536,15,0.88,48,0.762,10,7,0,8,117
Opponent,,-,1537:17,42,2.46,87,0.674,7,10,0,3,192
