#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
1.0,"May, Major 1May, Major",10,10,847:08,10,1.06,28,0.737,7.0,3.0,0.0,2,56,View Bio
0.0,"Nattinger, Michael 0Nattinger, Michael",3,0,66:11,0,0.0,1,1.0,0.0,0.0,0.0,0,3,View Bio
,Total,10,-,913:19,10,0.99,29,0.744,7.0,3.0,0.0,5,59,
,Opponents,10,-,913:19,29,2.86,55,0.655,,,,0,119,
