#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
1.0,"May, Major 1May, Major",16,16,1369:16,14,0.92,46,0.767,10.0,6.0,0.0,4,108,View Bio
0.0,"Nattinger, Michael 0Nattinger, Michael",5,1,168:01,1,0.54,2,0.667,0.0,1.0,0.0,0,9,View Bio
,Total,17,-,1537:17,15,0.88,48,0.762,10.0,7.0,0.0,8,117,
,Opponents,17,-,1537:17,42,2.46,87,0.674,,,,3,192,
