0,1,2
POINTS,2,Hamline University (9/13/2015) Carroll University (10/4/2015)
GOALS,1,"Dubuque, Univ. of (9/9/2015) Carleton College (9/12/2015) Hamline University (9/13/2015) Carroll University (10/4/2015)"
ASSISTS,1,"Dubuque, Univ. of (9/9/2015) Carleton College (9/12/2015)"
SHOTS,2,Crown College (9/4/2015) Buena Vista (9/16/2015) Ripon (9/26/2015) Beloit (10/31/2015)
SHOTS ON GOAL,1,Crown College (9/4/2015) Hamline University (9/13/2015) Buena Vista (9/16/2015) Ripon (9/26/2015)
SAVES,2,"Simpson (9/1/2015) Dubuque, Univ. of (9/9/2015) Carleton College (9/12/2015) Hamline University (9/13/2015) Knox College (9/19/2015) Carroll University (10/4/2015) St. Norbert College (10/18/2015) Illinois College (10/24/2015)"
FOULS,3,Buena Vista (9/16/2015)
CORNER KICKS,1,Crown College (9/4/2015) Cornell College (9/15/2015) Ripon (9/26/2015) Coe (10/29/2015)
