0,1,2
POINTS,26,Beloit (10/31/2015)
GOALS,10,Beloit (10/31/2015)
ASSISTS,6,Crown College (9/4/2015) Beloit (10/31/2015)
SHOTS,26,Crown College (9/4/2015)
SHOTS ON GOAL,17,Beloit (10/31/2015)
SAVES,6,Lawrence University (10/17/2015)
FOULS,20,Hamline University (9/13/2015)
CORNER KICKS,9,Beloit (10/31/2015)
