Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2015,Simpson,2-1,101:15,1,0.89,3,0.75,1,0,0,0,7
9/4/2015,Crown College,0-5,90:00,5,2.82,10,0.667,0,1,0,0,26
9/9/2015,"Dubuque, Univ. of",1-0,90:00,0,1.92,2,1.0,1,0,0,1,6
9/12/2015,Carleton College,1-0,90:00,0,1.45,2,1.0,1,0,0,1,4
9/13/2015,Hamline University,1-0,90:00,0,1.17,2,1.0,1,0,0,1,2
9/15/2015,Cornell College,0-2,90:00,2,1.31,8,0.8,0,1,0,0,15
9/16/2015,Buena Vista,0-4,72:43,4,1.73,5,0.556,0,1,0,0,16
9/19/2015,Knox College,3-2,90:00,2,1.76,3,0.6,1,0,0,0,8
9/26/2015,Ripon,0-5,90:00,5,2.13,9,0.643,0,1,0,0,21
10/3/2015,Lake Forest,2-1,90:00,1,2.01,4,0.8,1,0,0,0,7
10/4/2015,Carroll University,1-3,90:00,3,2.1,3,0.5,0,1,0,0,0
10/10/2015,Monmouth (IL),0-1,90:00,1,2.01,7,0.875,0,1,0,0,9
10/17/2015,Lawrence University,0-1,90:00,1,1.93,8,0.889,0,1,0,0,16
10/18/2015,St. Norbert College,2-1,94:11,1,1.86,3,0.75,1,0,0,0,4
10/24/2015,Illinois College,2-3,99:08,3,1.92,3,0.5,0,1,0,0,15
10/29/2015,Coe,0-3,90:00,3,1.99,8,0.727,0,1,0,0,12
10/31/2015,Beloit,0-10,90:00,10,2.46,7,0.412,0,1,0,0,24
Totals,,-,1536,42,2.46,87,0.674,7,10,0,3,192
Grinnell College,,-,1537:17,15,0.88,48,0.762,10,7,0,8,117
