Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2015,Simpson,2-1,2,2,6,16,0.125,6,0.375,1-0,1,0-0,1121
9/4/2015,Crown College,0-5,0,0,0,2,0.0,1,0.5,0-0,0,0-0,911
9/9/2015,"Dubuque, Univ. of",1-0,1,1,3,16,0.063,6,0.375,1-0,1,0-0,1002
9/12/2015,Carleton College,1-0,1,1,3,12,0.083,6,0.5,2-0,1,0-0,991
9/13/2015,Hamline University,1-0,1,0,2,4,0.25,1,0.25,0-1,1,0-0,991
9/15/2015,Cornell College,0-2,0,0,0,4,0.0,2,0.5,2-1,0,0-0,982
9/16/2015,Buena Vista,0-4,0,0,0,2,0.0,1,0.5,1-1,0,0-0,816
9/19/2015,Knox College,3-2,3,2,8,13,0.231,8,0.615,3-0,1,0-0,1100
9/26/2015,Ripon,0-5,0,0,0,2,0.0,1,0.5,1-0,0,0-0,978
10/3/2015,Lake Forest,2-1,2,2,6,8,0.25,5,0.625,0-0,1,0-0,1000
10/4/2015,Carroll University,1-3,1,0,2,15,0.067,4,0.267,0-0,0,0-0,0
10/10/2015,Monmouth (IL),0-1,0,0,0,5,0.0,2,0.4,1-0,0,0-0,931
10/17/2015,Lawrence University,0-1,0,0,0,11,0.0,6,0.545,1-0,0,0-0,999
10/18/2015,St. Norbert College,2-1,2,2,6,13,0.154,0,0.0,0-0,1,0-0,0
10/24/2015,Illinois College,2-3,2,3,7,7,0.286,3,0.429,2-0,0,0-0,1090
10/29/2015,Coe,0-3,0,0,0,5,0.0,3,0.6,1-0,0,0-0,1041
10/31/2015,Beloit,0-10,0,0,0,3,0.0,2,0.667,0-0,0,0-0,970
Total,,15-42,15,13,43,138,0.109,57,0.413,16-3,7,0-0,14923
Grinnell College,,-,42,30,114,208,0.202,124,0.596,18-1,10,-,15339
