Statistic,Grinnell College,Opponents OPP
Shots,Shots,Shots
Goals G,42,15
Goals Per Game G/AVG,2.47,0.88
Shots SH,208,138
Shots Per Game SH/AVG,12.2,8.1
Shots Percentage SH%,0.202,0.109
Shots On Goal SOG,124-208,57-138
Shots On Goal Percentage SOG%,0.596,0.413
Penalties,Penalties,Penalties
Yellow Cards YC,18,16
Red Cards RC,1,3
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,30,13
Saves S,44,83
Fouls F,142,142
Corner Kicks CK,82,65
Penalty Kicks: Goals-Attempts PG-PA,2-2,0-0
