Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
9/1/2015,at Simpson,1-2,1/2,1/2,7/16,4/6,3/11,0/1,0/0
9/4/2015,vs Crown College,5-0,5/0,6/0,26/2,15/1,4/1,2/0,0/0
9/9/2015,"at Dubuque, Univ. of",0-1,0/1,0/1,6/16,2/6,3/9,2/1,0/0
9/12/2015,at Carleton College,0-1,0/1,0/1,4/12,2/6,0/11,3/2,1/0
9/13/2015,at Hamline University,0-1,0/1,0/0,2/4,2/1,3/7,2/0,0/1
9/15/2015,at Cornell College,2-0,2/0,1/0,16/4,10/2,7/1,1/2,0/1
9/16/2015,vs Buena Vista,4-0,4/0,3/0,16/2,9/1,5/0,1/1,0/1
9/19/2015,at Knox College,2-3,2/3,1/2,8/13,5/8,3/2,0/3,0/0
9/26/2015,vs Ripon,5-0,5/0,2/0,21/2,14/1,6/1,1/1,0/0
10/3/2015,vs Lake Forest,1-2,1/2,0/2,7/8,5/5,4/6,2/0,0/0
10/4/2015,vs Carroll University,3-1,3/1,2/0,10/15,5/4,2/4,0/0,0/0
10/10/2015,vs Monmouth (IL),1-0,1/0,1/0,9/5,8/2,6/0,0/1,0/0
10/17/2015,at Lawrence University,1-0,1/0,0/0,16/11,9/6,7/3,2/1,0/0
10/18/2015,at St. Norbert College,1-2,1/2,2/2,8/13,0/0,8/4,1/0,0/0
10/24/2015,at Illinois College,3-2,3/2,4/3,15/7,6/3,8/2,0/2,0/0
10/29/2015,vs Coe,3-0,3/0,1/0,12/5,11/3,4/1,0/1,0/0
10/31/2015,vs Beloit,10-0,10/0,6/0,25/3,17/2,9/2,1/0,0/0
Totals,,,42/15,30/13,208/138,124/57,82/65,18/16,1/3
