#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
8.0,"DiMarco, Antonio 8DiMarco, Antonio",17,17,1090,9,6,24,34,0.265,20,0.588,1-0,3,0-0,View Bio
6.0,"Curiskis, Artis 6Curiskis, Artis",17,17,844,5,8,18,30,0.167,17,0.567,1-0,1,0-0,View Bio
10.0,"Hurley, Michael 10Hurley, Michael",17,17,1197,5,3,13,35,0.143,20,0.571,4-0,1,0-0,View Bio
21.0,"Brule, Nicholas 21Brule, Nicholas",16,15,496,5,0,10,25,0.2,15,0.6,0-0,1,0-0,
11.0,"Sorenson, Evan 11Sorenson, Evan",17,17,776,4,2,10,15,0.267,9,0.6,0-0,1,0-0,View Bio
17.0,"Leitson, David 17Leitson, David",14,1,422,2,2,6,6,0.333,4,0.667,1-0,0,0-0,View Bio
12.0,"Froikin, Caelum 12Froikin, Caelum",11,1,288,2,0,4,5,0.4,3,0.6,1-0,0,0-0,View Bio
15.0,"Kakkar, Ambar 15Kakkar, Ambar",16,1,485,2,0,4,13,0.154,8,0.615,0-0,1,1-1,View Bio
2.0,"Sanchez-Conde, Francisco 2Sanchez-Conde, Francisco",13,6,745,1,2,4,11,0.091,5,0.455,0-0,0,0-0,View Bio
13.0,"Harroun, Nikolai 13Harroun, Nikolai",14,7,523,1,1,3,4,0.25,2,0.5,1-0,0,0-0,View Bio
16.0,"Thal, Zachary 16Thal, Zachary",10,0,336,1,1,3,3,0.333,2,0.667,0-0,0,0-0,
5.0,"Edgerton, Ezra 5Edgerton, Ezra",17,12,1046,0,2,2,4,0.0,3,0.75,0-0,0,0-0,View Bio
7.0,"Fluharty, Noah 7Fluharty, Noah",16,6,508,0,2,2,0,0.0,0,0.0,1-0,0,0-0,View Bio
4.0,"Kamp, Michael 4Kamp, Michael",12,0,284,1,0,2,3,0.333,2,0.667,0-0,0,0-0,View Bio
3.0,"Narum, Pearse 3Narum, Pearse",15,14,782,1,0,2,3,0.333,2,0.667,3-0,1,0-0,View Bio
28.0,"Paige, Eric 28Paige, Eric",1,0,4,1,0,2,1,1.0,1,1.0,0-0,0,0-0,View Bio
23.0,"Saenz, Joe 23Saenz, Joe",17,17,1334,1,0,2,2,0.5,2,1.0,2-0,0,1-1,View Bio
22.0,"Scott, Edward 22Scott, Edward",3,0,83,1,0,2,2,0.5,1,0.5,0-0,0,0-0,View Bio
24.0,"Dooley, Timothy 24Dooley, Timothy",13,0,311,0,1,1,2,0.0,1,0.5,0-0,0,0-0,View Bio
20.0,"Ampin-darko, Papakoj 20Ampin-darko, Papakoj",1,0,42,0,0,0,0,0.0,0,0.0,0-0,0,0-0,
29.0,"Esquivel, Jose 29Esquivel, Jose",4,0,118,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
9.0,"Hart, Cyrus 9Hart, Cyrus",1,0,52,0,0,0,1,0.0,1,1.0,0-0,0,0-0,
26.0,"Holcomb, Jackson 26Holcomb, Jackson",1,0,21,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
27.0,"Lavin, Joshua 27Lavin, Joshua",14,13,1004,0,0,0,1,0.0,0,0.0,1-0,0,0-0,
19.0,"Liebman, Zachary 19Liebman, Zachary",14,6,548,0,0,0,3,0.0,3,1.0,0-0,0,0-0,View Bio
14.0,"Marin, Juan 14Marin, Juan",16,3,513,0,0,0,5,0.0,3,0.6,0-0,0,0-0,View Bio
1.0,"May, Major 1May, Major",16,16,1184,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
0.0,"Nattinger, Michael 0Nattinger, Michael",5,1,169,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
25.0,"Orozco, Alejandro 25Orozco, Alejandro",5,0,78,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
18.0,"Silvia, Colton 18Silvia, Colton",1,0,56,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
,Total,17,-,15339,42,30,114,208,0.202,124,0.596,18-1,9,2-2,
,Opponent,17,-,14923,15,13,43,138,0.109,57,0.413,16-3,7,0-0,
