Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
9/1/2015,at Simpson,L,1-2,(0-1),,163,Artis Curiskis (1) (Antonio Dimarco)
9/4/2015,vs Crown College,W,5-0,(1-1),,92,"Antonio Dimarco (0) (Artis Curiskis)  David Leitson (0) (Antonio Dimarco)  Antonio Dimarco (0) (Evan Sorenson , Timothy Dooley)  Antonio Dimarco (0) (Artis Curiskis)  Antonio Dimarco (0) (Artis Curiskis)"
9/9/2015,"at Dubuque, Univ. of",L,0-1,(1-2),,270,
9/12/2015,at Carleton College,L,0-1,(1-3-0),,417,
9/13/2015,at Hamline University,L,0-1,(1-4-0),,110,
9/15/2015,at Cornell College,W,2-0,(2-4 (1-0 MWC)),,93,Ambar Kakkar (1) Zachary Thal (1) (Artis Curiskis)
9/16/2015,vs Buena Vista,W,4-0,(3-4),,129,Artis Curiskis (0) (Antonio Dimarco)  F. Sanchez-Conde (0) (Noah Fluharty)  Nicholas Brule (0) Antonio Dimarco (0) (Zachary Thal)
9/19/2015,at Knox College,L,2-3,"(3-5, 1-1)",1-1,200,Nicholas Brule (0) (Antonio Dimarco)  Artis Curiskis (0)
9/26/2015,vs Ripon,W,5-0,"(4-5, 2-1 MWC)",2-1 MWC,121,"Sorenson, Evan (0) Sorenson, Evan (0) Kakkar, Ambar (0) (Hurley, Michael)  Froikin, Caelum (0) Hurley, Michael (0) (Curiskis, Artis)"
10/3/2015,vs Lake Forest,L,1-2,"(4-6, 2-2 MWC)",2-2 MWC,121,"Hurley, Michael (0)"
10/4/2015,vs Carroll University,W,3-1,(),,121,Michael Hurley (0) Antonio Dimarco (0) (Michael Hurley)  Evan Sorenson (0) (Nikolai Harroun)
10/10/2015,vs Monmouth (IL),W,1-0,"(6-6, 4-2 MWC)",4-2 MWC,141,"Dimarco, Antonio (0) (Sanchez-Conde, F.)"
10/17/2015,at Lawrence University,W,1-0,"(7-6-0, 5-2-0 MWC)",5-2-0 MWC,412,Pearse Narum (0)
10/18/2015,at St. Norbert College,L,1-2,"(7-7, 5-3 MWC)",5-3 MWC,250,"Nicholas Brule (3) (Artis Curiskis , Antonio Dimarco)"
10/24/2015,at Illinois College,W,3-2,(8-7-0 (6-3-0 MWC)),,150,"Antonio Dimarco (0) (Artis Curiskis)  Artis Curiskis (0) (Antonio Dimarco , Michael Hurley)  Nicholas Brule (0) (Evan Sorenson)"
10/29/2015,vs Coe,W,3-0,(9-7),,67,"Hurley, Michael (0) (Fluharty, Noah)  Sorenson, Evan (0) Scott, Edward (0)"
10/31/2015,vs Beloit,W,10-0,"(10-7, 7-3 MWC)",7-3 MWC,131,"Dimarco, Antonio (0) Harroun, Nikolai (0) (Curiskis, Artis)  Brule, Nicholas (0) (Leitson, David , Edgerton, Ezra)  Leitson, David (0) (Edgerton, Ezra)  Hurley, Michael (0) Curiskis, Artis (0) Froikin, Caelum (0) Saenz, Joe (0) Kamp, Michael (0) Paige, Eric (0) (Leitson, David , Sanchez-Conde, F.)"
