Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 30, 2014 (Saturday)",1:00 pm,Away,Culver-Stockton College (Mo.),"Canton, MO",,,"L,1-2",Box ScoreRecap
"September 1, 2014 (Monday)",4:00 pm,Away,Hannibal-LaGrange College (Mo.),"Hannibal, MO",,,"W,2-1",Box ScoreRecap
"September 6, 2014 (Saturday)",6:00 pm,Away,University of Dubuque,"Dubuque, IA",,,"L,0-2",Box ScoreRecap
"September 13, 2014 (Saturday)",12:30 pm,Neutral,Benedictine University,"Lisle, IL",,,"L,2-3OT",Box ScoreRecap
"September 14, 2014 (Sunday)",12:00 pm,Away,Elmhurst College,"Elmhurst, IL",,,"L,0-1",Box ScoreRecap
"September 16, 2014 (Tuesday)",5:00 pm,Home,North Central College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,2-3",Box ScoreRecap
"September 20, 2014 (Saturday)",2:30 pm,Home,Cornell College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,0-6",Box ScoreRecap
"September 23, 2014 (Tuesday)",4:30 pm,Away,Knox College,"Galesburg, IL",,,"W,4-0",Box ScoreRecap
"September 28, 2014 (Sunday)",3:00 pm,Home,North Park University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,1-2",Box ScoreRecap
"October 4, 2014 (Saturday)",1:30 pm,Away,St. Norbert College,De Pere. WI,,,"L,0-1",Box ScoreRecap
"October 5, 2014 (Sunday)",1:00 pm,Away,Ripon College,"Ripon, WI",,,"L,2-32 OT",Box ScoreRecap
"October 8, 2014 (Wednesday)",7:00 pm,Away,Illinois College,"Jacksonville, IL",,,"W,2-1",Box Score
"October 11, 2014 (Saturday)",2:30 pm,Home,Lawrence University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,0-1",Box ScoreRecap
"October 14, 2014 (Tuesday)",3:30 pm,Home,Coe College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"W,4-1",Box ScoreRecap
"October 18, 2014 (Saturday)",1:30 pm,Home,Lake Forest College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,0-5",Box ScoreRecap
"October 19, 2014 (Sunday)",1:30 pm,Home,Carroll University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,0-4",Box ScoreRecap
"October 25, 2014 (Saturday)",2:30 pm,Home,Grinnell College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,0-1",Box ScoreRecap
"November 1, 2014 (Saturday)",2:30 pm,Away,Beloit College,"Beloit, WI",,,"W,2-0",Box ScoreRecap
