0,1,2,3
Grinnell College,352,64,3rd
Hailey Speck,86,14,6th
Lauren Yi,87,15,t-7th
Samanike Hengst,89,17,t-11th
Kayleigh Kresse,90,18,t-13th
Emily Adam,106,34,28th
