0,1,2,3,4,5,6
Grinnell College,370,366,368,1104,228,1st
Hailey Speck,91,89,86,266,47,1st
Kayleigh Kresse,86,90,92,268,49,3rd
Alex Plemmons,91,92,95,278,59,6th
Lauren Yi,102,95,95,292,73,16th
Samanike Hengst,103,97,102,302,83,23rd
Emily Adam,114,100,106,320,101,28th
