0,1,2,3,4,5,6,7
Grinnell College,372,378,379,386,1515,363,20th
"Speck, Hailey",90,89,91,96,366,78,85th
"Hengst, Samanike",90,90,99,94,373,85,91st
"Yi, Lauren",101,98,91,93,383,95,t-97th
"Piemmons, Alex",91,101,98,103,393,105,102nd
