Statistic,High,Player,Opponent
POINTS,41,Adam Phillips,Monmouth (IL) (02/05/22)
FIELD GOALS MADE,13,Adam Phillips,Monmouth (IL) (02/05/22)
FIELD GOAL ATTEMPTS,26,Aiden Gilbert,Lincoln Christian (11/13/21)
3 PT FIELD GOALS MADE,13,Adam Phillips,Monmouth (IL) (02/05/22)
3 PT FG ATTEMPTS,20,"Phillips,Adam",East-West U. (01/15/22)
FREE THROWS MADE,12,Aiden Gilbert,Coe (11/05/21)
FREE THROW ATTEMPTS,18,Aiden Gilbert,Coe (11/05/21)
REBOUNDS,14,Tommy Smith,Lincoln Christian (11/13/21)
ASSISTS,11,Patrick Simms,Spurgeon College (11/10/21)
STEALS,5,"Patrick Simms; Simms,Patrick; Will Bebee",Coe (11/05/21); Beloit (01/18/22); Beloit (02/15/22)
BLOCKED SHOTS,9,Will Bebee,Eureka (11/27/21)
TURNOVERS,6,"Priest,Mitch; Aiden Gilbert",East-West U. (01/15/22); Wartburg (11/16/21)
FOULS,6,Brady Vest,Monmouth (IL) (02/05/22)
