Name,GP,AST,TO,AST/TO Ratio
"#03 McLean, Tate",22,18,6,3.0
"#21 Simms, Patrick",25,138,55,2.51
"#05 Vest, Brady",25,26,12,2.17
"#33 Walser, Morgan",25,51,18,2.83
"#25 Bebee, Will",24,20,16,1.25
"#11 Breshears, Kort",17,4,3,1.33
"#03 Brookens, Christian",7,8,5,1.6
"#24 Gestring, Dillon",22,10,7,1.43
"#13 Gilbert, Aiden",14,32,30,1.07
"#04 Lasater, Will",23,11,6,1.83
"#02 Leone, Jackson",25,13,11,1.18
"#15 Mazlish, Dean",25,54,36,1.5
"#12 Priest, Mitch",22,27,25,1.08
