Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Coe,11/05/21,82-117,-35,24-91/51-73,.264/.699,9-47/0-3,.191/.000,25-38/15-27,.658-.556,39/62 -23,6/33,12/24,4/1,14/6,25/24
Westminster (MO),11/07/21,108-107,1,37-87/43-83,.425/.518,22-49/5-12,.449/.417,12-15/16-22,.800-.727,47/37 10,22/29,16/9,3/4,6/8,19/16
Spurgeon College,11/10/21,153-97,56,55-103/30-74,.534/.405,31-68/11-27,.456/.407,12-24/26-34,.500-.765,60/47 13,38/19,12/26,9/2,15/6,24/20
Lincoln Christian,11/13/21,121-109,12,38-111/43-96,.342/.448,17-64/5-13,.266/.385,28-46/18-26,.609-.692,77/67 10,22/29,16/24,6/1,10/7,21/30
Wartburg,11/16/21,93-95,-2,31-78/37-59,.397/.627,13-48/0-0,.271/NaN,18-24/21-40,.750-.525,34/43 -9,16/20,20/24,4/2,16/12,27/20
Lake Forest,11/20/21,94-106,-12,30-82/38-71,.366/.535,20-64/13-33,.313/.394,14-20/17-20,.700-.850,32/58 -26,19/30,7/19,6/2,8/4,19/19
Eureka,11/27/21,115-102,13,37-98/35-83,.378/.422,17-62/2-9,.274/.222,24-37/30-32,.649-.938,63/54 9,17/23,16/23,14/2,10/8,25/24
Knox,11/30/21,80-84,-4,28-77/30-58,.364/.517,12-42/3-16,.286/.188,12-20/21-32,.600-.656,41/45 -4,14/24,16/21,2/3,13/8,25/21
Lawrence,12/04/21,105-69,36,34-81/28-58,.420/.483,23-61/2-3,.377/.667,14-22/11-28,.636-.393,51/43 8,25/20,10/20,7/1,8/3,24/20
Cornell College,12/08/21,92-101,-9,31-89/38-76,.348/.500,14-52/6-15,.269/.400,16-19/19-30,.842-.633,48/55 -7,17/20,10/15,1/7,9/3,25/15
Principia,12/11/21,112-89,23,39-86/37-64,.453/.578,18-44/2-4,.409/.500,16-25/13-18,.640-.722,47/36 11,17/25,14/24,4/4,15/5,15/20
Ripon College,01/04/22,70-81,-11,24-85/28-60,.282/.467,16-58/4-10,.276/.400,6-15/21-32,.400-.656,49/48 1,16/11,12/14,5/3,10/4,27/16
Lawrence,01/08/22,102-91,11,33-72/32-69,.458/.464,13-39/8-23,.333/.348,23-33/19-27,.697-.704,50/37 13,11/22,14/13,1/2,7/4,27/27
East-West U.,01/15/22,145-79,66,51-105/30-79,.486/.380,27-70/5-19,.386/.263,16-27/14-20,.593-.700,66/49 17,34/14,18/33,9/1,19/14,21/21
Beloit,01/18/22,99-83,16,27-77/31-66,.351/.470,15-52/6-13,.288/.462,30-47/15-21,.638-.714,43/54 -11,18/18,12/31,2/4,21/5,20/26
Ripon,01/22/22,101-87,14,32-71/33-71,.451/.465,19-51/9-24,.373/.375,18-25/12-17,.720-.706,39/46 -7,18/12,8/16,2/2,9/2,18/19
Knox,01/26/22,116-61,55,37-83/17-53,.446/.321,22-49/3-13,.449/.231,20-30/24-30,.667-.800,47/46 1,18/15,10/30,3/1,17/5,24/21
Monmouth (IL),02/05/22,127-75,52,43-83/27-63,.518/.429,28-54/1-8,.519/.125,13-28/20-31,.464-.645,42/48 -6,26/15,21/38,6/1,19/7,27/20
Monmouth (IL),02/06/22,101-91,10,32-83/35-61,.386/.574,14-48/4-9,.292/.444,23-33/17-20,.697-.850,34/39 -5,17/21,10/28,4/7,17/5,21/25
Illinois Col.,02/09/22,95-87,8,29-80/32-62,.363/.516,10-37/4-13,.270/.308,27-33/19-31,.818-.613,40/48 -8,14/15,11/23,1/6,12/4,22/21
Beloit,02/15/22,104-84,20,31-67/34-75,.463/.453,18-42/5-21,.429/.238,24-29/11-19,.828-.579,35/52 -17,13/17,17/21,4/2,10/6,23/21
Cornell College,02/17/22,82-68,14,29-75/26-57,.387/.456,17-48/5-20,.354/.250,7-10/11-20,.700-.550,36/48 -12,19/17,10/19,5/5,13/5,22/14
Lake Forest,02/19/22,90-110,-20,30-73/41-62,.411/.661,12-42/8-19,.286/.421,18-26/20-26,.692-.769,30/43 -13,14/25,7/15,1/4,8/5,23/22
Illinois Col.,02/20/22,98-117,-19,33-80/40-65,.413/.615,15-36/8-17,.417/.471,17-35/29-40,.486-.725,36/57 -21,16/30,13/25,3/9,12/10,33/25
Cornell College,02/25/22,97-111,-14,35-86/36-68,.407/.529,16-48/11-21,.333/.524,11-24/28-38,.458-.737,44/51 -7,17/22,15/17,4/7,11/7,29/21
