Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
Coe,11/05/21,117-82,W,51-73,0.699,0-3,0.0,15-27,0.556,10,52,62,62.0,24,33,24,1,6,117,117.0
Westminster (MO),11/07/21,107-108,L,43-83,0.518,5-12,0.417,16-22,0.727,12,25,37,49.5,16,29,9,4,8,107,112.0
Spurgeon College,11/10/21,97-153,L,30-74,0.405,11-27,0.407,26-34,0.765,13,34,47,48.7,20,19,26,2,6,97,107.0
Lincoln Christian,11/13/21,109-121,L,43-96,0.448,5-13,0.385,18-26,0.692,20,47,67,53.3,30,29,24,1,7,109,107.5
Wartburg,11/16/21,95-93,W,37-59,0.627,0-0,,21-40,0.525,11,32,43,51.2,20,20,24,2,12,95,105.0
Lake Forest,11/20/21,106-94,W,38-71,0.535,13-33,0.394,17-20,0.85,18,40,58,52.3,19,30,19,2,4,106,105.2
Eureka,11/27/21,102-115,L,35-83,0.422,2-9,0.222,30-32,0.938,18,36,54,52.6,24,23,23,2,8,102,104.7
Knox,11/30/21,84-80,W,30-58,0.517,3-16,0.188,21-32,0.656,13,32,45,51.6,21,24,21,3,8,84,102.1
Lawrence,12/04/21,69-105,L,28-58,0.483,2-3,0.667,11-28,0.393,17,26,43,50.7,20,20,20,1,3,69,98.4
Cornell College,12/08/21,101-92,W,38-76,0.5,6-15,0.4,19-30,0.633,19,36,55,51.1,15,20,15,7,3,101,98.7
Principia,12/11/21,89-112,L,37-64,0.578,2-4,0.5,13-18,0.722,6,30,36,49.7,20,25,24,4,5,89,97.8
Ripon College,01/04/22,81-70,W,28-60,0.467,4-10,0.4,21-32,0.656,15,33,48,49.6,16,11,14,3,4,81,96.4
Lawrence,01/08/22,91-102,L,32-69,0.464,8-23,0.348,19-27,0.704,7,30,37,48.6,27,22,13,2,4,91,96.0
East-West U.,01/15/22,79-145,L,30-79,0.38,5-19,0.263,14-20,0.7,13,36,49,48.6,21,14,33,1,14,79,94.8
Beloit,01/18/22,83-99,L,31-66,0.47,6-13,0.462,15-21,0.714,16,38,54,49.0,26,18,31,4,5,83,94.0
Ripon,01/22/22,87-101,L,33-71,0.465,9-24,0.375,12-17,0.706,18,28,46,48.8,19,12,16,2,2,87,93.6
Knox,01/26/22,61-116,L,17-53,0.321,3-13,0.231,24-30,0.8,10,36,46,48.6,21,15,30,1,5,61,91.6
Monmouth (IL),02/05/22,75-127,L,27-63,0.429,1-8,0.125,20-31,0.645,12,36,48,48.6,20,15,38,1,7,75,90.7
Monmouth (IL),02/06/22,91-101,L,35-61,0.574,4-9,0.444,17-20,0.85,9,30,39,48.1,25,21,28,7,5,91,90.7
Illinois Col.,02/09/22,87-95,L,32-62,0.516,4-13,0.308,19-31,0.613,10,38,48,48.1,21,15,23,6,4,87,90.6
Beloit,02/15/22,84-104,L,34-75,0.453,5-21,0.238,11-19,0.579,23,29,52,48.3,21,17,21,2,6,84,90.2
Cornell College,02/17/22,68-82,L,26-57,0.456,5-20,0.25,11-20,0.55,16,32,48,48.3,14,17,19,5,5,68,89.2
Lake Forest,02/19/22,110-90,W,41-62,0.661,8-19,0.421,20-26,0.769,11,32,43,48.0,22,25,15,4,5,110,90.1
Illinois Col.,02/20/22,117-98,W,40-65,0.615,8-17,0.471,29-40,0.725,12,45,57,48.4,25,30,25,9,10,117,91.3
Cornell College,02/25/22,111-97,W,36-68,0.529,11-21,0.524,28-38,0.737,12,39,51,48.5,21,22,17,7,7,111,92.0
Grinnell College,,-,,850-2103,0.404,438-1275,0.344,444-685,0.648,501,629,1130,45.2,586,464,327,110,309,2582,103.3
Opponents,,-,,852-1706,0.499,130-365,0.356,467-681,0.686,341,872,1213,48.5,528,526,552,83,153,2301,92.0
