Name,GP,STL,STL/G
"#21 Simms, Patrick",25,63,2.5
"#25 Bebee, Will",24,39,1.6
"#33 Walser, Morgan",25,39,1.6
"#15 Mazlish, Dean",25,22,0.9
"#05 Vest, Brady",25,22,0.9
"#02 Leone, Jackson",25,15,0.6
"#13 Gilbert, Aiden",14,13,0.9
"#22 Bluder, David",25,12,0.5
"#04 Lasater, Will",23,9,0.4
"#10 Phillips, Adam",25,9,0.4
"#24 Gestring, Dillon",22,8,0.4
"#44 Johnson, Tolu",20,8,0.4
"#03 McLean, Tate",22,8,0.4
"#54 Smith, Tommy",25,7,0.3
"#11 Breshears, Kort",17,6,0.4
"#35 Ryan, Jordon",19,6,0.3
"#23 Wright, Andre",16,6,0.4
"#42 DeGeorge, Max",12,4,0.3
"#12 Priest, Mitch",22,4,0.2
"#03 Brookens, Christian",7,3,0.4
"#23 Del Mar, Chaz",12,2,0.2
"#45 Ruhanen, Jack",11,2,0.2
"#23 Thurmgreene, Moze",12,1,0.1
"#44 Wilson, Garrett",1,1,1.0
