#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
21,"Simms, Patrick 21 Simms, Patrick",25,20.0,452,18.1,151,339,0.445,55,158,0.348,125,182,0.687,482,19.3,36,75,111,4.4,59,138,55,63,1,View Bio
13,"Gilbert, Aiden 13 Gilbert, Aiden",14,2.0,182,13.0,66,168,0.393,5,31,0.161,70,109,0.642,207,14.8,16,15,31,2.2,19,32,30,13,0,View Bio
10,"Phillips, Adam 10 Phillips, Adam",25,16.0,388,15.5,113,265,0.426,111,255,0.435,18,20,0.9,355,14.2,17,12,29,1.2,13,13,14,9,0,View Bio
22,"Bluder, David 22 Bluder, David",25,7.0,378,15.1,96,260,0.369,65,198,0.328,36,53,0.679,293,11.7,26,16,42,1.7,12,14,22,12,1,View Bio
15,"Mazlish, Dean 15 Mazlish, Dean",25,1.0,325,13.0,57,134,0.425,37,89,0.416,45,58,0.776,196,7.8,26,30,56,2.2,49,54,36,22,0,View Bio
03,"Brookens, Christian 03 Brookens, Christian",7,6.0,92,13.1,15,38,0.395,9,27,0.333,10,12,0.833,49,7.0,4,10,14,2.0,7,8,5,3,0,View Bio
25,"Bebee, Will 25 Bebee, Will",24,19.0,399,16.6,59,115,0.513,7,28,0.25,39,74,0.527,164,6.8,62,83,145,6.0,64,20,16,39,57,View Bio
33,"Walser, Morgan 33 Walser, Morgan",25,6.0,373,14.9,60,147,0.408,29,76,0.382,11,20,0.55,160,6.4,23,43,66,2.6,33,51,18,39,2,View Bio
02,"Leone, Jackson 02 Leone, Jackson",25,3.0,258,10.3,45,132,0.341,38,115,0.33,9,13,0.692,137,5.5,15,23,38,1.5,21,13,11,15,0,View Bio
05,"Vest, Brady 05 Vest, Brady",25,7.0,387,15.5,31,80,0.388,16,55,0.291,21,26,0.808,99,4.0,32,45,77,3.1,61,26,12,22,0,View Bio
04,"Lasater, Will 04 Lasater, Will",23,3.0,192,8.3,25,79,0.316,20,62,0.323,6,14,0.429,76,3.3,9,22,31,1.3,38,11,6,9,8,View Bio
24,"Gestring, Dillon 24 Gestring, Dillon",22,1.0,181,8.2,25,58,0.431,11,34,0.324,7,12,0.583,68,3.1,16,26,42,1.9,21,10,7,8,3,View Bio
54,"Smith, Tommy 54 Smith, Tommy",25,4.0,319,12.8,28,55,0.509,0,2,0.0,20,43,0.465,76,3.0,54,79,133,5.3,46,7,19,7,25,View Bio
12,"Priest, Mitch 12 Priest, Mitch",22,0.0,145,6.6,19,62,0.306,9,42,0.214,7,11,0.636,54,2.5,7,15,22,1.0,10,27,25,4,0,View Bio
23,"Thurmgreene, Moze 23 Thurmgreene, Moze",12,0.0,64,5.3,9,35,0.257,8,30,0.267,0,1,0.0,26,2.2,7,4,11,0.9,3,2,4,1,0,View Bio
03,"McLean, Tate 03 McLean, Tate",22,9.0,212,9.6,12,43,0.279,7,29,0.241,5,10,0.5,36,1.6,16,32,48,2.2,24,18,6,8,0,View Bio
42,"DeGeorge, Max 42 DeGeorge, Max",12,1.0,48,4.0,6,19,0.316,5,17,0.294,0,0,0.0,17,1.4,3,5,8,0.7,3,2,0,4,0,View Bio
44,"Johnson, Tolu 44 Johnson, Tolu",20,0.0,155,7.8,11,20,0.55,0,0,0.0,5,12,0.417,27,1.4,22,27,49,2.5,32,4,5,8,9,View Bio
45,"Ruhanen, Jack 45 Ruhanen, Jack",11,0.0,37,3.4,7,9,0.778,1,1,1.0,0,0,0.0,15,1.4,8,7,15,1.4,10,0,3,2,2,View Bio
35,"Ryan, Jordon 35 Ryan, Jordon",19,4.0,110,5.8,7,15,0.467,0,5,0.0,7,7,1.0,21,1.1,20,13,33,1.7,10,4,7,6,1,View Bio
23,"Wright, Andre 23 Wright, Andre",16,0.0,118,7.4,6,18,0.333,3,14,0.214,1,3,0.333,16,1.0,8,3,11,0.7,16,2,4,6,0,View Bio
11,"Breshears, Kort 11 Breshears, Kort",17,2.0,118,6.9,2,10,0.2,2,7,0.286,0,1,0.0,6,0.4,13,6,19,1.1,20,4,3,6,0,View Bio
23,"Del Mar, Chaz 23 Del Mar, Chaz",12,4.0,58,4.8,0,1,0.0,0,0,0.0,2,4,0.5,2,0.2,2,4,6,0.5,14,2,5,2,0,View Bio
TM,Team  TM Team,25,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,57,33,90,3.6,0,0,14,0,0,
44,"Wilson, Garrett 44 Wilson, Garrett",1,0.0,9,9.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,2,1,3,3.0,1,2,0,1,1,View Bio
,Total,25,,5000,200.0,850,2103,0.404,438,1275,0.344,444,685,0.648,2582,103.28,501,629,1130,45.2,586,464,327,309,110,
,Opponents,25,,5000,200.0,852,1706,0.499,130,365,0.356,467,681,0.686,2301,92.04,341,872,1213,48.5,528,526,552,153,83,
