Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#10 Phillips, Adam",25,111,255,0.435,4.4,10.2
"#22 Bluder, David",25,65,198,0.328,2.6,7.9
"#21 Simms, Patrick",25,55,158,0.348,2.2,6.3
"#02 Leone, Jackson",25,38,115,0.33,1.5,4.6
"#15 Mazlish, Dean",25,37,89,0.416,1.5,3.6
"#33 Walser, Morgan",25,29,76,0.382,1.2,3.0
"#04 Lasater, Will",23,20,62,0.323,0.9,2.7
"#05 Vest, Brady",25,16,55,0.291,0.6,2.2
"#24 Gestring, Dillon",22,11,34,0.324,0.5,1.5
"#03 Brookens, Christian",7,9,27,0.333,1.3,3.9
"#12 Priest, Mitch",22,9,42,0.214,0.4,1.9
"#23 Thurmgreene, Moze",12,8,30,0.267,0.7,2.5
"#25 Bebee, Will",24,7,28,0.25,0.3,1.2
"#03 McLean, Tate",22,7,29,0.241,0.3,1.3
"#42 DeGeorge, Max",12,5,17,0.294,0.4,1.4
"#13 Gilbert, Aiden",14,5,31,0.161,0.4,2.2
"#23 Wright, Andre",16,3,14,0.214,0.2,0.9
"#11 Breshears, Kort",17,2,7,0.286,0.1,0.4
"#45 Ruhanen, Jack",11,1,1,1.0,0.1,0.1
"#35 Ryan, Jordon",19,0,5,0.0,0.0,0.3
"#54 Smith, Tommy",25,0,2,0.0,0.0,0.1
