#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
21.0,"Simms, Patrick 21 Simms, Patrick",25,20.0,452,151,339,0.445,55,158,0.348,125,182,0.687,482,19.3
10.0,"Phillips, Adam 10 Phillips, Adam",25,16.0,388,113,265,0.426,111,255,0.435,18,20,0.9,355,14.2
13.0,"Gilbert, Aiden 13 Gilbert, Aiden",14,2.0,182,66,168,0.393,5,31,0.161,70,109,0.642,207,14.8
22.0,"Bluder, David 22 Bluder, David",25,7.0,378,96,260,0.369,65,198,0.328,36,53,0.679,293,11.7
3.0,"Brookens, Christian 03 Brookens, Christian",7,6.0,92,15,38,0.395,9,27,0.333,10,12,0.833,49,7.0
15.0,"Mazlish, Dean 15 Mazlish, Dean",25,1.0,325,57,134,0.425,37,89,0.416,45,58,0.776,196,7.8
25.0,"Bebee, Will 25 Bebee, Will",24,19.0,399,59,115,0.513,7,28,0.25,39,74,0.527,164,6.8
33.0,"Walser, Morgan 33 Walser, Morgan",25,6.0,373,60,147,0.408,29,76,0.382,11,20,0.55,160,6.4
2.0,"Leone, Jackson 02 Leone, Jackson",25,3.0,258,45,132,0.341,38,115,0.33,9,13,0.692,137,5.5
5.0,"Vest, Brady 05 Vest, Brady",25,7.0,387,31,80,0.388,16,55,0.291,21,26,0.808,99,4.0
54.0,"Smith, Tommy 54 Smith, Tommy",25,4.0,319,28,55,0.509,0,2,0.0,20,43,0.465,76,3.0
4.0,"Lasater, Will 04 Lasater, Will",23,3.0,192,25,79,0.316,20,62,0.323,6,14,0.429,76,3.3
24.0,"Gestring, Dillon 24 Gestring, Dillon",22,1.0,181,25,58,0.431,11,34,0.324,7,12,0.583,68,3.1
12.0,"Priest, Mitch 12 Priest, Mitch",22,0.0,145,19,62,0.306,9,42,0.214,7,11,0.636,54,2.5
23.0,"Thurmgreene, Moze 23 Thurmgreene, Moze",12,0.0,64,9,35,0.257,8,30,0.267,0,1,0.0,26,2.2
3.0,"McLean, Tate 03 McLean, Tate",22,9.0,212,12,43,0.279,7,29,0.241,5,10,0.5,36,1.6
35.0,"Ryan, Jordon 35 Ryan, Jordon",19,4.0,110,7,15,0.467,0,5,0.0,7,7,1.0,21,1.1
42.0,"DeGeorge, Max 42 DeGeorge, Max",12,1.0,48,6,19,0.316,5,17,0.294,0,0,0.0,17,1.4
44.0,"Johnson, Tolu 44 Johnson, Tolu",20,0.0,155,11,20,0.55,0,0,0.0,5,12,0.417,27,1.4
45.0,"Ruhanen, Jack 45 Ruhanen, Jack",11,0.0,37,7,9,0.778,1,1,1.0,0,0,0.0,15,1.4
23.0,"Wright, Andre 23 Wright, Andre",16,0.0,118,6,18,0.333,3,14,0.214,1,3,0.333,16,1.0
23.0,"Del Mar, Chaz 23 Del Mar, Chaz",12,4.0,58,0,1,0.0,0,0,0.0,2,4,0.5,2,0.2
11.0,"Breshears, Kort 11 Breshears, Kort",17,2.0,118,2,10,0.2,2,7,0.286,0,1,0.0,6,0.4
44.0,"Wilson, Garrett 44 Wilson, Garrett",1,0.0,9,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0
,Total,25,,5000,850,2103,0.404,438,1275,0.344,444,685,0.648,2582,103.28
,Opponents,25,,5000,852,1706,0.499,130,365,0.356,467,681,0.686,2301,92.04
