Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#21 Simms, Patrick",25,125,182,0.687,5.0,7.3
"#13 Gilbert, Aiden",14,70,109,0.642,5.0,7.8
"#15 Mazlish, Dean",25,45,58,0.776,1.8,2.3
"#25 Bebee, Will",24,39,74,0.527,1.6,3.1
"#22 Bluder, David",25,36,53,0.679,1.4,2.1
"#05 Vest, Brady",25,21,26,0.808,0.8,1.0
"#54 Smith, Tommy",25,20,43,0.465,0.8,1.7
"#10 Phillips, Adam",25,18,20,0.9,0.7,0.8
"#33 Walser, Morgan",25,11,20,0.55,0.4,0.8
"#03 Brookens, Christian",7,10,12,0.833,1.4,1.7
"#02 Leone, Jackson",25,9,13,0.692,0.4,0.5
"#24 Gestring, Dillon",22,7,12,0.583,0.3,0.5
"#12 Priest, Mitch",22,7,11,0.636,0.3,0.5
"#35 Ryan, Jordon",19,7,7,1.0,0.4,0.4
"#04 Lasater, Will",23,6,14,0.429,0.3,0.6
"#44 Johnson, Tolu",20,5,12,0.417,0.3,0.6
"#03 McLean, Tate",22,5,10,0.5,0.2,0.5
"#23 Del Mar, Chaz",12,2,4,0.5,0.2,0.3
"#23 Wright, Andre",16,1,3,0.333,0.1,0.2
"#11 Breshears, Kort",17,0,1,0.0,0.0,0.1
"#23 Thurmgreene, Moze",12,0,1,0.0,0.0,0.1
