Name,GP,TO,TO/G
"#21 Simms, Patrick",25,55,2.2
"#15 Mazlish, Dean",25,36,1.4
"#13 Gilbert, Aiden",14,30,2.1
"#12 Priest, Mitch",22,25,1.1
"#22 Bluder, David",25,22,0.9
"#54 Smith, Tommy",25,19,0.8
"#33 Walser, Morgan",25,18,0.7
"#25 Bebee, Will",24,16,0.7
"#10 Phillips, Adam",25,14,0.6
#TM Team,25,14,0.6
"#05 Vest, Brady",25,12,0.5
"#02 Leone, Jackson",25,11,0.4
"#24 Gestring, Dillon",22,7,0.3
"#35 Ryan, Jordon",19,7,0.4
"#04 Lasater, Will",23,6,0.3
"#03 McLean, Tate",22,6,0.3
"#03 Brookens, Christian",7,5,0.7
"#23 Del Mar, Chaz",12,5,0.4
"#44 Johnson, Tolu",20,5,0.3
"#23 Thurmgreene, Moze",12,4,0.3
"#23 Wright, Andre",16,4,0.3
"#11 Breshears, Kort",17,3,0.2
"#45 Ruhanen, Jack",11,3,0.3
