Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#21 Simms, Patrick",25,151,339,0.445,6.0,13.6
"#10 Phillips, Adam",25,113,265,0.426,4.5,10.6
"#22 Bluder, David",25,96,260,0.369,3.8,10.4
"#13 Gilbert, Aiden",14,66,168,0.393,4.7,12.0
"#33 Walser, Morgan",25,60,147,0.408,2.4,5.9
"#25 Bebee, Will",24,59,115,0.513,2.5,4.8
"#15 Mazlish, Dean",25,57,134,0.425,2.3,5.4
"#02 Leone, Jackson",25,45,132,0.341,1.8,5.3
"#05 Vest, Brady",25,31,80,0.388,1.2,3.2
"#54 Smith, Tommy",25,28,55,0.509,1.1,2.2
"#24 Gestring, Dillon",22,25,58,0.431,1.1,2.6
"#04 Lasater, Will",23,25,79,0.316,1.1,3.4
"#12 Priest, Mitch",22,19,62,0.306,0.9,2.8
"#03 Brookens, Christian",7,15,38,0.395,2.1,5.4
"#03 McLean, Tate",22,12,43,0.279,0.5,2.0
"#44 Johnson, Tolu",20,11,20,0.55,0.6,1.0
"#23 Thurmgreene, Moze",12,9,35,0.257,0.8,2.9
"#45 Ruhanen, Jack",11,7,9,0.778,0.6,0.8
"#35 Ryan, Jordon",19,7,15,0.467,0.4,0.8
"#42 DeGeorge, Max",12,6,19,0.316,0.5,1.6
"#23 Wright, Andre",16,6,18,0.333,0.4,1.1
"#11 Breshears, Kort",17,2,10,0.2,0.1,0.6
"#23 Del Mar, Chaz",12,0,1,0.0,0.0,0.1
"#44 Wilson, Garrett",1,0,1,0.0,0.0,1.0
