#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
21.0,"Simms, Patrick 21 Simms, Patrick",25,18.1,0.445,0.348,0.687,1.4,3.0,4.4,5.5,2.5,0.0,19.3
10.0,"Phillips, Adam 10 Phillips, Adam",25,15.5,0.426,0.435,0.9,0.7,0.5,1.2,0.5,0.4,0.0,14.2
13.0,"Gilbert, Aiden 13 Gilbert, Aiden",14,13.0,0.393,0.161,0.642,1.1,1.1,2.2,2.3,0.9,0.0,14.8
22.0,"Bluder, David 22 Bluder, David",25,15.1,0.369,0.328,0.679,1.0,0.6,1.7,0.6,0.5,0.0,11.7
3.0,"Brookens, Christian 03 Brookens, Christian",7,13.1,0.395,0.333,0.833,0.6,1.4,2.0,1.1,0.4,0.0,7.0
15.0,"Mazlish, Dean 15 Mazlish, Dean",25,13.0,0.425,0.416,0.776,1.0,1.2,2.2,2.2,0.9,0.0,7.8
25.0,"Bebee, Will 25 Bebee, Will",24,16.6,0.513,0.25,0.527,2.6,3.5,6.0,0.8,1.6,2.4,6.8
33.0,"Walser, Morgan 33 Walser, Morgan",25,14.9,0.408,0.382,0.55,0.9,1.7,2.6,2.0,1.6,0.1,6.4
2.0,"Leone, Jackson 02 Leone, Jackson",25,10.3,0.341,0.33,0.692,0.6,0.9,1.5,0.5,0.6,0.0,5.5
5.0,"Vest, Brady 05 Vest, Brady",25,15.5,0.388,0.291,0.808,1.3,1.8,3.1,1.0,0.9,0.0,4.0
54.0,"Smith, Tommy 54 Smith, Tommy",25,12.8,0.509,0.0,0.465,2.2,3.2,5.3,0.3,0.3,1.0,3.0
4.0,"Lasater, Will 04 Lasater, Will",23,8.3,0.316,0.323,0.429,0.4,1.0,1.3,0.5,0.4,0.3,3.3
24.0,"Gestring, Dillon 24 Gestring, Dillon",22,8.2,0.431,0.324,0.583,0.7,1.2,1.9,0.5,0.4,0.1,3.1
12.0,"Priest, Mitch 12 Priest, Mitch",22,6.6,0.306,0.214,0.636,0.3,0.7,1.0,1.2,0.2,0.0,2.5
23.0,"Thurmgreene, Moze 23 Thurmgreene, Moze",12,5.3,0.257,0.267,0.0,0.6,0.3,0.9,0.2,0.1,0.0,2.2
3.0,"McLean, Tate 03 McLean, Tate",22,9.6,0.279,0.241,0.5,0.7,1.5,2.2,0.8,0.4,0.0,1.6
35.0,"Ryan, Jordon 35 Ryan, Jordon",19,5.8,0.467,0.0,1.0,1.1,0.7,1.7,0.2,0.3,0.1,1.1
42.0,"DeGeorge, Max 42 DeGeorge, Max",12,4.0,0.316,0.294,0.0,0.3,0.4,0.7,0.2,0.3,0.0,1.4
44.0,"Johnson, Tolu 44 Johnson, Tolu",20,7.8,0.55,0.0,0.417,1.1,1.4,2.5,0.2,0.4,0.5,1.4
45.0,"Ruhanen, Jack 45 Ruhanen, Jack",11,3.4,0.778,1.0,0.0,0.7,0.6,1.4,0.0,0.2,0.2,1.4
23.0,"Wright, Andre 23 Wright, Andre",16,7.4,0.333,0.214,0.333,0.5,0.2,0.7,0.1,0.4,0.0,1.0
23.0,"Del Mar, Chaz 23 Del Mar, Chaz",12,4.8,0.0,0.0,0.5,0.2,0.3,0.5,0.2,0.2,0.0,0.2
11.0,"Breshears, Kort 11 Breshears, Kort",17,6.9,0.2,0.286,0.0,0.8,0.4,1.1,0.2,0.4,0.0,0.4
44.0,"Wilson, Garrett 44 Wilson, Garrett",1,9.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0
,Total,25,200.0,0.404,0.344,0.648,20.0,25.2,45.2,18.6,12.4,4.4,103.28
,Opponents,25,200.0,0.499,0.356,0.686,13.6,34.9,48.5,21.0,6.1,3.3,92.04
