Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#25 Bebee, Will",24,145,6.0,62,2.6,83,3.5
"#54 Smith, Tommy",25,133,5.3,54,2.2,79,3.2
"#21 Simms, Patrick",25,111,4.4,36,1.4,75,3.0
#TM Team,25,90,3.6,57,2.3,33,1.3
"#05 Vest, Brady",25,77,3.1,32,1.3,45,1.8
"#33 Walser, Morgan",25,66,2.6,23,0.9,43,1.7
"#15 Mazlish, Dean",25,56,2.2,26,1.0,30,1.2
"#44 Johnson, Tolu",20,49,2.5,22,1.1,27,1.4
"#03 McLean, Tate",22,48,2.2,16,0.7,32,1.5
"#22 Bluder, David",25,42,1.7,26,1.0,16,0.6
"#24 Gestring, Dillon",22,42,1.9,16,0.7,26,1.2
"#02 Leone, Jackson",25,38,1.5,15,0.6,23,0.9
"#35 Ryan, Jordon",19,33,1.7,20,1.1,13,0.7
"#13 Gilbert, Aiden",14,31,2.2,16,1.1,15,1.1
"#04 Lasater, Will",23,31,1.3,9,0.4,22,1.0
"#10 Phillips, Adam",25,29,1.2,17,0.7,12,0.5
"#12 Priest, Mitch",22,22,1.0,7,0.3,15,0.7
"#11 Breshears, Kort",17,19,1.1,13,0.8,6,0.4
"#45 Ruhanen, Jack",11,15,1.4,8,0.7,7,0.6
"#03 Brookens, Christian",7,14,2.0,4,0.6,10,1.4
"#23 Thurmgreene, Moze",12,11,0.9,7,0.6,4,0.3
"#23 Wright, Andre",16,11,0.7,8,0.5,3,0.2
"#42 DeGeorge, Max",12,8,0.7,3,0.3,5,0.4
"#23 Del Mar, Chaz",12,6,0.5,2,0.2,4,0.3
"#44 Wilson, Garrett",1,3,3.0,2,2.0,1,1.0
