Name,GP,PF,PF/G
"#25 Bebee, Will",24,64,2.7
"#05 Vest, Brady",25,61,2.4
"#21 Simms, Patrick",25,59,2.4
"#15 Mazlish, Dean",25,49,2.0
"#54 Smith, Tommy",25,46,1.8
"#04 Lasater, Will",23,38,1.7
"#33 Walser, Morgan",25,33,1.3
"#44 Johnson, Tolu",20,32,1.6
"#03 McLean, Tate",22,24,1.1
"#24 Gestring, Dillon",22,21,1.0
"#02 Leone, Jackson",25,21,0.8
"#11 Breshears, Kort",17,20,1.2
"#13 Gilbert, Aiden",14,19,1.4
"#23 Wright, Andre",16,16,1.0
"#23 Del Mar, Chaz",12,14,1.2
"#10 Phillips, Adam",25,13,0.5
"#22 Bluder, David",25,12,0.5
"#12 Priest, Mitch",22,10,0.5
"#45 Ruhanen, Jack",11,10,0.9
"#35 Ryan, Jordon",19,10,0.5
"#03 Brookens, Christian",7,7,1.0
"#42 DeGeorge, Max",12,3,0.3
"#23 Thurmgreene, Moze",12,3,0.3
"#44 Wilson, Garrett",1,1,1.0
