Name,GP,Pts,Pts/G
"#21 Simms, Patrick",25,482,19.3
"#10 Phillips, Adam",25,355,14.2
"#22 Bluder, David",25,293,11.7
"#13 Gilbert, Aiden",14,207,14.8
"#15 Mazlish, Dean",25,196,7.8
"#25 Bebee, Will",24,164,6.8
"#33 Walser, Morgan",25,160,6.4
"#02 Leone, Jackson",25,137,5.5
"#05 Vest, Brady",25,99,4.0
"#04 Lasater, Will",23,76,3.3
"#54 Smith, Tommy",25,76,3.0
"#24 Gestring, Dillon",22,68,3.1
"#12 Priest, Mitch",22,54,2.5
"#03 Brookens, Christian",7,49,7.0
"#03 McLean, Tate",22,36,1.6
"#44 Johnson, Tolu",20,27,1.4
"#23 Thurmgreene, Moze",12,26,2.2
"#35 Ryan, Jordon",19,21,1.1
"#42 DeGeorge, Max",12,17,1.4
"#23 Wright, Andre",16,16,1.0
"#45 Ruhanen, Jack",11,15,1.4
"#11 Breshears, Kort",17,6,0.4
"#23 Del Mar, Chaz",12,2,0.2
