Name,GP,MIN,MIN/G
"#21 Simms, Patrick",25,452,18.1
"#25 Bebee, Will",24,399,16.6
"#10 Phillips, Adam",25,388,15.5
"#05 Vest, Brady",25,387,15.5
"#22 Bluder, David",25,378,15.1
"#33 Walser, Morgan",25,373,14.9
"#15 Mazlish, Dean",25,325,13.0
"#54 Smith, Tommy",25,319,12.8
"#02 Leone, Jackson",25,258,10.3
"#03 McLean, Tate",22,212,9.6
"#04 Lasater, Will",23,192,8.3
"#13 Gilbert, Aiden",14,182,13.0
"#24 Gestring, Dillon",22,181,8.2
"#44 Johnson, Tolu",20,155,7.8
"#12 Priest, Mitch",22,145,6.6
"#11 Breshears, Kort",17,118,6.9
"#23 Wright, Andre",16,118,7.4
"#35 Ryan, Jordon",19,110,5.8
"#03 Brookens, Christian",7,92,13.1
"#23 Thurmgreene, Moze",12,64,5.3
"#23 Del Mar, Chaz",12,58,4.8
"#42 DeGeorge, Max",12,48,4.0
"#45 Ruhanen, Jack",11,37,3.4
"#44 Wilson, Garrett",1,9,9.0
