Name,GP,BLK,BLK/G
"#25 Bebee, Will",24,57,2.4
"#54 Smith, Tommy",25,25,1.0
"#44 Johnson, Tolu",20,9,0.5
"#04 Lasater, Will",23,8,0.3
"#24 Gestring, Dillon",22,3,0.1
"#45 Ruhanen, Jack",11,2,0.2
"#33 Walser, Morgan",25,2,0.1
"#22 Bluder, David",25,1,0.0
"#35 Ryan, Jordon",19,1,0.1
"#21 Simms, Patrick",25,1,0.0
"#44 Wilson, Garrett",1,1,1.0
