Name,GP,AST,AST/G
"#21 Simms, Patrick",25,138,5.5
"#15 Mazlish, Dean",25,54,2.2
"#33 Walser, Morgan",25,51,2.0
"#13 Gilbert, Aiden",14,32,2.3
"#12 Priest, Mitch",22,27,1.2
"#05 Vest, Brady",25,26,1.0
"#25 Bebee, Will",24,20,0.8
"#03 McLean, Tate",22,18,0.8
"#22 Bluder, David",25,14,0.6
"#02 Leone, Jackson",25,13,0.5
"#10 Phillips, Adam",25,13,0.5
"#04 Lasater, Will",23,11,0.5
"#24 Gestring, Dillon",22,10,0.5
"#03 Brookens, Christian",7,8,1.1
"#54 Smith, Tommy",25,7,0.3
"#11 Breshears, Kort",17,4,0.2
"#44 Johnson, Tolu",20,4,0.2
"#35 Ryan, Jordon",19,4,0.2
"#42 DeGeorge, Max",12,2,0.2
"#23 Del Mar, Chaz",12,2,0.2
"#23 Thurmgreene, Moze",12,2,0.2
"#44 Wilson, Garrett",1,2,2.0
"#23 Wright, Andre",16,2,0.1
