0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Kohawk Classic,"Aug 31-Sep 1, 2024",2,80-78=158,+14,t-17th/88
2024 SLIAC Women's Championship,"Oct 6-8, 2024",3,83-76-79=238,+22,10th/51
SEASON TOTALS,SEASON TOTALS,5,396 Avg. 79.2,+7,-
