0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Kohawk Classic,"Aug 31-Sep 1, 2024",2,71-75=146,+2,1st/88
Wartburg College Fall Invite,"Sep 7-8, 2024",2,75-76=151,+7,t-8th/96
Illinois Wesleyan Univ. Fall Classic,"Sep 14-15, 2024",2,75-74=149,+5,t-10th/124
2024 SLIAC Women's Championship,"Oct 6-8, 2024",3,70-75-71=216,E,2nd/51
SEASON TOTALS,SEASON TOTALS,9,662 Avg. 73.6,+2,-
