0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Kohawk Classic,"Aug 31-Sep 1, 2024",2,77-78=155,+11,t-9th/88
2024 SLIAC Women's Championship,"Oct 6-8, 2024",3,78-78-78=234,+18,8th/51
SEASON TOTALS,SEASON TOTALS,5,389 Avg. 77.8,+6,-
