0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Kohawk Classic,"Aug 31-Sep 1, 2024",2,74-73=147,+3,2nd/88
Wartburg College Fall Invite,"Sep 7-8, 2024",2,70-74=144,E,1st/96
Illinois Wesleyan Univ. Fall Classic,"Sep 14-15, 2024",2,71-77=148,+4,t-8th/124
2024 SLIAC Women's Championship,"Oct 6-8, 2024",3,74-66-73=213,-3,1st/51
SEASON TOTALS,SEASON TOTALS,9,652 Avg. 72.4,E,-
