0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Kohawk Classic,"Aug 31-Sep 1, 2024",2,75-77=152,+8,t-4th/88
Wartburg College Fall Invite,"Sep 7-8, 2024",2,79-81=160,+16,t-31st/96
Illinois Wesleyan Univ. Fall Classic,"Sep 14-15, 2024",2,79-76=155,+11,t-23rd/124
2024 SLIAC Women's Championship,"Oct 6-8, 2024",3,80-78-77=235,+19,9th/51
SEASON TOTALS,SEASON TOTALS,9,702 Avg. 78.0,+6,-
