Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Snyder, Joey",SR-4,55.11m,"180' 10""",Central College Last Chance Open,"May 19, 2010"
,"Bradley, Marquis",SR,51.56m,"169' 2""",Kip Janvrin Open,"Apr 22, 2010"
,"Brewer, Ben",,45.38m,"148' 11""",Spartan Open,"May 1, 2010"
