Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2016,Coe College,0-2,90:00,2,2.0,6,0.75,0,1,0,0,15
9/3/2016,Albion,3-2,90:00,2,2.0,4,0.667,1,0,0,0,10
9/7/2016,"Dubuque, Univ. Of",4-0,90:00,0,1.33,2,1.0,1,0,0,1,9
9/10/2016,Hamline University,2-0,90:00,0,1.0,1,1.0,1,0,0,1,3
9/11/2016,Buena Vista,1-3,90:00,3,1.4,2,0.4,0,1,0,0,8
9/14/2016,Simpson (IA),1-2,90:00,2,1.5,3,0.6,0,1,0,0,5
9/17/2016,Nebraska Wesleyan,1-2,90:00,2,1.57,5,0.714,0,1,0,0,11
9/21/2016,Cornell College,0-1,90:00,1,1.5,5,0.833,0,1,0,0,12
9/24/2016,Beloit College,0-4,90:00,4,1.78,6,0.6,0,1,0,0,0
9/25/2016,Lake Forest,3-2,103:50,2,1.77,2,0.5,1,0,0,0,9
10/1/2016,Illinois College,2-3,90:00,3,1.88,3,0.5,0,1,0,0,10
10/8/2016,Knox,1-1,110:00,1,1.78,3,0.75,0,0,1,0,11
10/15/2016,St. Norbert College,1-0,90:00,0,1.64,3,1.0,1,0,0,1,7
10/16/2016,Lawrence University,0-5,90:00,5,1.88,5,0.5,0,1,0,0,21
10/20/2016,Wis.-Whitewater,1-0,90:00,0,1.76,2,1.0,1,0,0,1,8
10/22/2016,Ripon College,1-4,90:00,4,1.89,9,0.692,0,1,0,0,18
10/29/2016,Monmouth College,0-2,90:00,2,1.9,3,0.6,0,1,0,0,13
11/4/2016,Lake Forest,0-1,90:00,1,1.85,7,0.875,0,1,0,0,13
11/5/2016,St. Norbert College,2-1,92:50,1,1.8,2,0.667,1,0,0,0,7
Totals,,-,1745,35,1.8,73,0.676,7,11,1,4,190
Grinnell College,,-,1746:40,23,1.19,82,0.781,11,7,1,5,198
