#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
0.0,"Cloutier, Jared 0Cloutier, Jared",5,1,144:32,5,3.11,7,0.583,0.0,1.0,0.0,0/1,17,View Bio
1.0,"May, Major 1May, Major",18,18,1576:08,18,1.03,72,0.8,10.0,6.0,1.0,4/1,181,View Bio
0.0,"Nattinger, Michael 00Nattinger, Michael",2,0,26:00,0,0.0,0,0.0,0.0,0.0,0.0,0/0,0,View Bio
,Total,19,-,1746:40,23,1.19,79,0.775,10.0,7.0,1.0,5,198,
,Opponents,19,-,1746:40,35,1.8,72,0.673,,,,4,190,
