0,1,2
POINTS,12,Beloit College (9/24/2016) Lawrence University (10/16/2016)
GOALS,5,Lawrence University (10/16/2016)
ASSISTS,4,Beloit College (9/24/2016)
SHOTS,21,Lawrence University (10/16/2016)
SHOTS ON GOAL,13,Ripon College (10/22/2016)
SAVES,8,Simpson (IA) (9/14/2016)
FOULS,18,St. Norbert College (11/5/2016)
CORNER KICKS,14,Beloit College (9/24/2016)
