Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
9/1/2016,at Coe College,2-0,2/0,2/0,15/5,8/1,8/0,4/4,0/0
9/3/2016,vs Albion,2-3,2/3,0/3,10/7,6/6,6/0,1/3,0/0
9/7/2016,"vs Dubuque, Univ. Of",0-4,0/4,0/4,9/16,2/8,7/9,0/3,0/0
9/10/2016,vs Hamline University,0-2,0/2,0/1,3/11,1/8,6/4,2/3,0/0
9/11/2016,at Buena Vista,3-1,3/1,3/0,8/6,5/5,5/4,0/2,0/0
9/14/2016,vs Simpson (IA),2-1,2/1,1/0,6/15,5/9,1/6,1/2,0/0
9/17/2016,vs Nebraska Wesleyan,2-1,2/1,1/0,12/11,7/6,10/3,0/2,0/0
9/21/2016,at Cornell College,1-0,1/0,0/0,13/6,6/2,3/1,2/1,0/0
9/24/2016,at Beloit College,4-0,4/0,4/0,13/3,10/2,14/3,0/1,0/0
9/25/2016,at Lake Forest,2-3,2/3,2/2,9/18,4/8,1/3,1/3,0/0
10/1/2016,vs Illinois College,3-2,3/2,3/0,12/11,6/6,7/3,2/5,0/0
10/8/2016,vs Knox,1-1,1/1,1/0,11/11,4/8,3/5,2/3,0/1
10/15/2016,vs St. Norbert College,0-1,0/1,0/0,7/19,3/8,3/6,0/0,0/0
10/16/2016,vs Lawrence University,5-0,5/0,2/0,21/10,10/4,6/1,1/0,0/0
10/20/2016,at Wis.-Whitewater,0-1,0/1,0/1,8/16,2/6,3/5,0/1,0/0
10/22/2016,at Ripon College,4-1,4/1,2/1,19/5,13/5,11/3,0/3,0/0
10/29/2016,at Monmouth College,2-0,2/0,2/0,13/7,5/1,6/0,0/1,0/0
11/4/2016,at Lake Forest,1-0,1/0,0/0,13/16,8/7,3/5,0/1,0/0
11/5/2016,at St. Norbert College,1-2,1/2,1/0,7/14,3/5,2/4,3/2,0/0
Totals,,,35/23,24/12,209/207,108/105,105/65,19/40,0/1
