Statistic,Grinnell College,Opponents OPP
Shots,Shots,Shots
Goals G,35,23
Goals Per Game G/AVG,1.84,1.21
Shots SH,209,207
Shots Per Game SH/AVG,11.0,10.9
Shots Percentage SH%,0.167,0.111
Shots On Goal SOG,108-209,105-207
Shots On Goal Percentage SOG%,0.517,0.507
Penalties,Penalties,Penalties
Yellow Cards YC,19,40
Red Cards RC,0,1
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,24,12
Saves S,82,73
Fouls F,215,219
Corner Kicks CK,105,65
Penalty Kicks: Goals-Attempts PG-PA,4-5,4-4
