Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
9/1/2016,at Coe College,W,2-0,(1-0-0),,415,Carlos Piedrasanta (1) (Antonio DiMarco)  Matt Record (1) (Nick Brule)
9/3/2016,vs Albion,L,2-3,(1-1),,203,Kyle Buse (0) Nick Brule (0)
9/7/2016,"vs Dubuque, Univ. Of",L,0-4,(1-2),,214,
9/10/2016,vs Hamline University,L,0-2,(1-3),,126,
9/11/2016,at Buena Vista,W,3-1,(2-3),,225,Artis Curiskis (1) (Nick Brule)  Nick Brule (0) (Artis Curiskis)  Nick Brule (0) (Sidney Hotchkiss)
9/14/2016,vs Simpson (IA),W,2-1,(3-3-0),,207,Nick Brule (4) (Zach Reeves)  Nick Brule (0)
9/17/2016,vs Nebraska Wesleyan,W,2-1,(4-3-0),,311,Nick Brule (0) (Artis Curiskis)  Carlos Piedrasanta (0)
9/21/2016,at Cornell College,W,1-0,"(5-3, 1-0 MWC)",1-0 MWC,94,Artis Curiskis (2)
9/24/2016,at Beloit College,W,4-0,"(6-3-0, 2-0-0 MWC)",2-0-0 MWC,200,"Nicholas Brule (0) (Antonio DiMarco)  Noah Fluharty (0) (Nicholas Brule)  Evan Sorenson (0) (Nicholas Brule , Artis Curiskis)  TEAM (0)"
9/25/2016,at Lake Forest,L,2-3,"(6-4-0, 2-1-0 MWC)",2-1-0 MWC,168,Nick Brule (8) (Antonio DiMarco)  Artis Curiskis (3) (Thomas Pflipsen)
10/1/2016,vs Illinois College,W,3-2,"(7-4-0, 3-1 MWC)",3-1 MWC,161,Artis Curiskis (0) (Nikolai Harroun)  Nick Brule (0) (Antonio DiMarco)  Josh Lavin (0) (Antonio DiMarco)
10/8/2016,vs Knox,T,1-1,"(7-4-1, 3-1-1 MWC)",3-1-1 MWC,207,Nick Brule (0) (Carlos Piedrasanta)
10/15/2016,vs St. Norbert College,L,0-1,"(7-5-1, 3-2-1 MWC)",3-2-1 MWC,231,
10/16/2016,vs Lawrence University,W,5-0,"(8-5-1, 4-2-1 MWC)",4-2-1 MWC,302,Matt Record (0) Kyle Buse (0) Antonio DiMarco (0) (Evan Sorenson)  Antonio DiMarco (0) (Michael Kamp)  Kyle Buse (0)
10/20/2016,at Wis.-Whitewater,L,0-1,(8-6-1),,95,
10/22/2016,at Ripon College,W,4-1,"(9-6-1, 5-2-1 MWC)",5-2-1 MWC,137,Antonio Dimarco (3) (Artis Curiskis)  Major May (1) Artis Curiskis (6) (F. Sanchez-Conde)  Matt Record (3)
10/29/2016,at Monmouth College,W,2-0,"(10-6-1, 6-2-1)",6-2-1,150,Zach Reeves (0) (Mikoto Kobayashi)  Nick Brule (0) (Antonio Dimarco)
11/4/2016,at Lake Forest,W,1-0,(11-6-1),,162,Nick Brule (12)
11/5/2016,at St. Norbert College,L,1-2,(11-7-1),,223,F. Sanchez-Conde (1) (Evan Sorenson)
