Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2016,Coe College,0-2,0,0,0,5,0.0,1,0.2,4-0,0,0-0,943
9/3/2016,Albion,3-2,3,3,9,7,0.429,6,0.857,3-0,1,0-0,1022
9/7/2016,"Dubuque, Univ. Of",4-0,4,4,12,16,0.25,8,0.5,3-0,1,0-0,990
9/10/2016,Hamline University,2-0,2,1,5,11,0.182,8,0.727,3-0,1,0-0,990
9/11/2016,Buena Vista,1-3,1,0,2,6,0.167,5,0.833,2-0,0,0-0,1040
9/14/2016,Simpson (IA),1-2,1,0,2,15,0.067,9,0.6,2-0,0,0-0,969
9/17/2016,Nebraska Wesleyan,1-2,1,0,2,11,0.091,6,0.545,2-0,0,1-1,990
9/21/2016,Cornell College,0-1,0,0,0,6,0.0,2,0.333,1-0,0,0-0,977
9/24/2016,Beloit College,0-4,0,0,0,3,0.0,2,0.667,1-0,0,0-0,0
9/25/2016,Lake Forest,3-2,3,2,8,18,0.167,8,0.444,3-0,1,1-1,1144
10/1/2016,Illinois College,2-3,2,0,4,11,0.182,6,0.545,5-0,0,1-1,989
10/8/2016,Knox,1-1,1,0,2,11,0.091,8,0.727,3-1,0,0-0,1208
10/15/2016,St. Norbert College,1-0,1,0,2,19,0.053,8,0.421,0-0,1,0-0,989
10/16/2016,Lawrence University,0-5,0,0,0,10,0.0,4,0.4,0-0,0,0-0,989
10/20/2016,Wis.-Whitewater,1-0,1,1,3,16,0.063,6,0.375,1-0,1,0-0,992
10/22/2016,Ripon College,1-4,1,1,3,5,0.2,5,1.0,3-0,0,0-0,1002
10/29/2016,Monmouth College,0-2,0,0,0,7,0.0,1,0.143,1-0,0,0-0,1044
11/4/2016,Lake Forest,0-1,0,0,0,16,0.0,7,0.438,1-0,0,0-0,990
11/5/2016,St. Norbert College,2-1,2,0,4,14,0.143,5,0.357,2-0,1,1-1,1024
Total,,23-35,23,12,58,207,0.111,105,0.507,40-1,7,4-4,18292
Grinnell College,,-,35,24,94,209,0.167,108,0.517,19-0,11,-,18508
