Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2016,Coe College,2-0,90:00,0,0.0,1,1.0,1,0,0,1,5
9/3/2016,Albion,2-3,90:00,3,1.5,3,0.5,0,1,0,0,7
9/7/2016,"Dubuque, Univ. Of",0-4,90:00,4,2.33,4,0.5,0,1,0,0,16
9/10/2016,Hamline University,0-2,90:00,2,2.25,6,0.75,0,1,0,0,11
9/11/2016,Buena Vista,3-1,90:00,1,2.0,4,0.8,1,0,0,0,6
9/14/2016,Simpson (IA),2-1,90:00,1,1.83,8,0.889,1,0,0,0,15
9/17/2016,Nebraska Wesleyan,2-1,90:00,1,1.71,5,0.833,1,0,0,0,10
9/21/2016,Cornell College,1-0,90:00,0,1.5,2,1.0,1,0,0,1,6
9/24/2016,Beloit College,4-0,90:00,0,1.33,2,1.0,1,0,0,1,0
9/25/2016,Lake Forest,2-3,103:50,3,1.48,5,0.625,0,1,0,0,17
10/1/2016,Illinois College,3-2,90:00,2,1.52,4,0.667,1,0,0,0,9
10/8/2016,Knox,1-1,110:00,1,1.45,7,0.875,0,0,1,0,11
10/15/2016,St. Norbert College,0-1,90:00,1,1.42,7,0.875,0,1,0,0,19
10/16/2016,Lawrence University,5-0,90:00,0,1.32,4,1.0,1,0,0,1,10
10/20/2016,Wis.-Whitewater,0-1,90:00,1,1.3,5,0.833,0,1,0,0,15
10/22/2016,Ripon College,4-1,90:00,1,1.28,4,0.8,1,0,0,0,5
10/29/2016,Monmouth College,2-0,90:00,0,1.21,1,1.0,1,0,0,1,7
11/4/2016,Lake Forest,1-0,90:00,0,1.14,7,1.0,1,0,0,1,16
11/5/2016,St. Norbert College,1-2,92:50,2,1.19,3,0.6,0,1,0,0,13
Totals,,-,1745,23,1.19,82,0.781,11,7,1,6,198
Opponent,,-,1746:40,35,1.8,73,0.676,7,11,1,4,190
