Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2016,at Coe College,2-0,2,2,6,15,0.133,8,0.533,4-0,1,0-0,992
9/3/2016,vs Albion,2-3,2,0,4,10,0.2,6,0.6,1-0,0,0-0,988
9/7/2016,"vs Dubuque, Univ. Of",0-4,0,0,0,9,0.0,2,0.222,0-0,0,0-0,1005
9/10/2016,vs Hamline University,0-2,0,0,0,3,0.0,1,0.333,2-0,0,0-0,1015
9/11/2016,at Buena Vista,3-1,3,3,9,8,0.375,5,0.625,0-0,1,0-0,1019
9/14/2016,vs Simpson (IA),2-1,2,1,5,6,0.333,5,0.833,1-0,1,1-1,1018
9/17/2016,vs Nebraska Wesleyan,2-1,2,1,5,12,0.167,7,0.583,0-0,1,1-1,989
9/21/2016,at Cornell College,1-0,1,0,2,13,0.077,6,0.462,2-0,1,1-1,1180
9/24/2016,at Beloit College,4-0,4,4,12,13,0.308,10,0.769,0-0,1,0-0,0
9/25/2016,at Lake Forest,2-3,2,2,6,9,0.222,4,0.444,1-0,0,0-0,1143
10/1/2016,vs Illinois College,3-2,3,3,9,12,0.25,6,0.5,2-0,1,0-1,990
10/8/2016,vs Knox,1-1,1,1,3,11,0.091,4,0.364,2-0,0,0-0,1209
10/15/2016,vs St. Norbert College,0-1,0,0,0,7,0.0,3,0.429,0-0,0,0-0,990
10/16/2016,vs Lawrence University,5-0,5,2,12,21,0.238,10,0.476,1-0,1,0-0,992
10/20/2016,at Wis.-Whitewater,0-1,0,0,0,8,0.0,2,0.25,0-0,0,0-0,990
10/22/2016,at Ripon College,4-1,4,2,10,19,0.211,13,0.684,0-0,1,1-1,973
10/29/2016,at Monmouth College,2-0,2,2,6,13,0.154,5,0.385,0-0,1,0-0,1002
11/4/2016,at Lake Forest,1-0,1,0,2,13,0.077,8,0.615,0-0,1,0-0,991
11/5/2016,at St. Norbert College,1-2,1,1,3,7,0.143,3,0.429,3-0,0,0-0,1022
Total,,35-23,35,24,94,209,0.167,108,0.517,19-0,11,4-5,18508
Opponent,,-,23,12,58,207,0.111,105,0.507,40-1,7,-,18292
