0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Alex Love,2.5,224,88,-,2,-,-,-,+18,89.6,2.5,224,89.6
James Lim,1.5,137,94,-,1,-,-,-,+19,91.3,12.5,1203,96.2
Owen Craven,2.5,251,97,-,2,-,-,-,+28,100.4,20.5,2135,104.1
John Zbaracki,2.5,253,97,-,2,-,-,-,+29,101.2,34.5,3684,106.8
Brody Barton,2.5,260,102,-,2,-,-,-,+32,104.0,2.5,260,104.0
Zhonghong Dai,-,-,-,-,-,-,-,-,-,-,-,-,-
Connor Headrick,-,-,-,-,-,-,-,-,-,-,3,361,120.3
Zack Jones,-,-,-,-,-,-,-,-,-,-,1,99,99.0
Alexander Love,-,-,-,-,-,-,-,-,-,-,-,-,-
Sam Naik,-,-,-,-,-,-,-,-,-,-,11,932,84.7
Cody Takabuki,-,-,-,-,-,-,-,-,-,-,13,1205,92.7
FOUR-PLAYER TEAM,2.5,966,381,-,2,-,-,-,+98,386.4,,,
