0,1,2,3,4,5,6,7
Tournament,Dates,Rounds,Place,Teams,Players,Par,Score
Wartburg Fall Invite,"Sep 27-28, 2019",1.5,6,6,33,+143,575
SLIAC Preview,"Oct 13, 2019",1,8,0,0,+103,391
