Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Carchidi, Eva",JR-3,12.32,Midwest Conference Outdoor Championships,"May 12, 2023",2.2
,"Edassery, Sonia",JR-3,12.77,Monmouth College Fighting Scot Outdoor,"May 6, 2023",0.8
,"Taylor, Ava",SO-2,13.44,Dick Young Classic,"Apr 22, 2023",0.4
,"Oden, Melanie",SO-2,13.72,2023 Kip Janvrin Open,"Apr 27, 2023",-1.0
,"Voinescu, Isa",FR-1,13.91,Midwest Conference Outdoor Championships,"May 12, 2023",1.7
,"Frasca, Athena",JR-3,14.05,Norse Invite,"Apr 15, 2023",0.4
,"Ong, Caitlin",FR-1,14.12,Midwest Conference Outdoor Championships,"May 12, 2023",2.2
,"Strovers, Maddy",FR-1,14.99,Monmouth College Fighting Scot Outdoor,"May 6, 2023",1.5
,"Goodman, Jessie",FR-1,14.99,Norse Invite,"Apr 15, 2023",0.4
,"Natalie, Alexandra",FR-1,15.43,Monmouth College Fighting Scot Outdoor,"May 6, 2023",1.5
