Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Voinescu, Isa",FR-1,31.45m,"103' 2""",Midwest Conference Outdoor Championships,"May 12, 2023"
,"Marsh, Grace",SO-2,30.41m,"99' 9""",Monmouth College Fighting Scot Outdoor,"May 6, 2023"
