0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Jim Wetherbee Memorial Invitatational,"Mar 30-31, 2018",2,117-104=221,+77,102nd/106
Wartburg Spring Invite,"Apr 13, 2018",1,109,+37,t-48th/51
Grinnell vs. Central Dual,"Apr 21, 2018",1,98,+28,7th/0
Aldeen Preview,"Apr 22, 2018",1,106,+34,41st/42
Fighting Scots Invitational,"Apr 27-28, 2018",2,101-102=203,+61,71st/74
Midwest Conference Championships,"May 3-5, 2018",3,103-105-103=311,+95,31st/33
SEASON TOTALS,SEASON TOTALS,10,1048 Avg. 104.8,+33,-
