0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Wartburg Men Fall Invite,"Sep 22-23, 2017",2,83-81=164,+20,t-40th/49
Pima Community College Dual,"Mar 21, 2018",1,75,+3,
Jim Wetherbee Memorial Invitatational,"Mar 30-31, 2018",2,80-78=158,+14,t-26th/106
Wartburg Spring Invite,"Apr 13, 2018",1,82,+10,t-27th/51
Grinnell vs. Central Dual,"Apr 21, 2018",1,77,+7,2nd/0
Aldeen Preview,"Apr 22, 2018",1,79,+7,t-3rd/42
Fighting Scots Invitational,"Apr 27-28, 2018",2,80-73=153,+11,t-26th/74
Midwest Conference Championships,"May 3-5, 2018",3,74-74-78=226,+10,t-3rd/33
SEASON TOTALS,SEASON TOTALS,13,1014 Avg. 78.0,+6,-
