Name,GP,BLK,BLK/G
"#34 Booher, Sara",24,60,2.5
"#25 Strovers, Bailey",24,5,0.2
"#14 Lillis, Erin",24,3,0.1
"#10 Ware, Nikki",24,3,0.1
"#11 Carchidi, Eva",24,2,0.1
"#24 Pierce, Carolyn",22,2,0.1
"#20 Rockwell, Aiyana",24,2,0.1
"#12 Stephens, Reese",23,2,0.1
"#22 Thomas, Skylar",24,1,0.0
