#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
14.0,"Lillis, Erin 14 Lillis, Erin",24,24.0,818,143,373,0.383,14,61,0.23,108,137,0.788,408,17.0
34.0,"Booher, Sara 34 Booher, Sara",24,24.0,557,108,206,0.524,0,1,0.0,40,77,0.519,256,10.7
10.0,"Ware, Nikki 10 Ware, Nikki",24,24.0,699,76,189,0.402,31,89,0.348,48,57,0.842,231,9.6
25.0,"Strovers, Bailey 25 Strovers, Bailey",24,0.0,425,52,117,0.444,21,58,0.362,46,61,0.754,171,7.1
11.0,"Carchidi, Eva 11 Carchidi, Eva",24,22.0,586,52,135,0.385,41,112,0.366,7,10,0.7,152,6.3
24.0,"Pierce, Carolyn 24 Pierce, Carolyn",22,0.0,327,40,113,0.354,31,88,0.352,16,24,0.667,127,5.8
22.0,"Thomas, Skylar 22 Thomas, Skylar",24,22.0,480,34,122,0.279,13,57,0.228,16,30,0.533,97,4.0
13.0,"Marsh, Grace 13 Marsh, Grace",20,3.0,366,22,61,0.361,10,27,0.37,14,24,0.583,68,3.4
20.0,"Rockwell, Aiyana 20 Rockwell, Aiyana",24,1.0,349,8,41,0.195,4,22,0.182,9,16,0.563,29,1.2
12.0,"Stephens, Reese 12 Stephens, Reese",23,0.0,215,8,30,0.267,4,19,0.211,8,12,0.667,28,1.2
33.0,"Friedman, Elena 33 Friedman, Elena",1,0.0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
23.0,"Hamzavi, Meezan 23 Hamzavi, Meezan",7,0.0,15,0,3,0.0,0,3,0.0,0,0,0.0,0,0.0
45.0,"Schwartzman, Juniper 45 Schwartzman, Juniper",11,0.0,37,0,2,0.0,0,0,0.0,7,14,0.5,7,0.6
,Total,24,,4875,543,1392,0.39,169,537,0.315,319,462,0.69,1574,65.58
,Opponents,24,,4875,558,1595,0.35,143,559,0.256,228,360,0.633,1487,61.96
