Statistic,High,Player,Opponent
POINTS,33,"Lillis,Erin",Crown (MN) (11/11/23)
FIELD GOALS MADE,14,"Lillis,Erin",Crown (MN) (11/11/23)
FIELD GOAL ATTEMPTS,21,"Lillis,Erin",Beloit (01/10/24); Crown (MN) (11/11/23)
3 PT FIELD GOALS MADE,5,"Pierce,Carolyn; Carchidi,Eva",Cornell College (12/06/23); Knox (01/23/24)
3 PT FG ATTEMPTS,10,"Pierce,Carolyn",Lake Forest (11/25/23)
FREE THROWS MADE,11,"Lillis,Erin",Illinois Col. (02/07/24)
FREE THROW ATTEMPTS,14,"Lillis,Erin",Coe (11/17/23)
REBOUNDS,16,"Booher,Sara",Keene St. (12/30/23)
ASSISTS,7,"Lillis,Erin",Illinois Col. (02/07/24)
STEALS,7,"Lillis,Erin",Illinois Col. (02/07/24)
BLOCKED SHOTS,6,"Booher,Sara",Ripon (01/20/24)
TURNOVERS,8,"Ware,Nikki",Keene St. (12/30/23)
FOULS,5,"Ware,Nikki",Beloit (02/14/24)
