Name,GP,STL,STL/G
"#14 Lillis, Erin",24,51,2.1
"#10 Ware, Nikki",24,29,1.2
"#34 Booher, Sara",24,15,0.6
"#13 Marsh, Grace",20,11,0.6
"#11 Carchidi, Eva",24,10,0.4
"#25 Strovers, Bailey",24,10,0.4
"#22 Thomas, Skylar",24,10,0.4
"#24 Pierce, Carolyn",22,9,0.4
"#12 Stephens, Reese",23,6,0.3
"#20 Rockwell, Aiyana",24,4,0.2
"#45 Schwartzman, Juniper",11,3,0.3
"#23 Hamzavi, Meezan",7,1,0.1
