#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
14,"Lillis, Erin 14 Lillis, Erin",16,16.0,551,34.4,96,255,0.376,11,45,0.244,66,81,0.815,269,16.8,6,38,44,2.8,25,64,4.0,58,38,3,View Bio
34,"Booher, Sara 34 Booher, Sara",16,16.0,378,23.6,70,135,0.519,0,0,0.0,30,58,0.517,170,10.6,41,99,140,8.8,41,19,1.2,20,9,36,View Bio
10,"Ware, Nikki 10 Ware, Nikki",16,16.0,461,28.8,49,121,0.405,20,59,0.339,36,41,0.878,154,9.6,19,53,72,4.5,35,35,2.2,43,17,2,View Bio
25,"Strovers, Bailey 25 Strovers, Bailey",16,0.0,285,17.8,33,75,0.44,16,43,0.372,36,49,0.735,118,7.4,15,70,85,5.3,28,8,0.5,22,9,3,View Bio
11,"Carchidi, Eva 11 Carchidi, Eva",16,16.0,380,23.8,32,84,0.381,29,73,0.397,6,9,0.667,99,6.2,9,58,67,4.2,16,14,0.9,25,6,2,View Bio
24,"Pierce, Carolyn 24 Pierce, Carolyn",16,0.0,251,15.7,30,82,0.366,26,68,0.382,9,16,0.563,95,5.9,4,13,17,1.1,19,9,0.6,16,5,2,View Bio
22,"Thomas, Skylar 22 Thomas, Skylar",16,15.0,310,19.4,24,80,0.3,8,41,0.195,10,19,0.526,66,4.1,7,42,49,3.1,15,10,0.6,13,7,1,View Bio
13,"Marsh, Grace 13 Marsh, Grace",15,0.0,265,17.7,17,45,0.378,7,17,0.412,13,22,0.591,54,3.6,12,38,50,3.3,12,11,0.7,14,8,0,View Bio
12,"Stephens, Reese 12 Stephens, Reese",16,0.0,112,7.0,5,13,0.385,3,8,0.375,6,10,0.6,19,1.2,3,9,12,0.8,11,6,0.4,12,1,1,View Bio
20,"Rockwell, Aiyana 20 Rockwell, Aiyana",16,1.0,224,14.0,4,25,0.16,1,14,0.071,3,10,0.3,12,0.8,4,22,26,1.6,22,19,1.2,14,4,1,View Bio
33,"Friedman, Elena 33 Friedman, Elena",1,0.0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,View Bio
23,"Hamzavi, Meezan 23 Hamzavi, Meezan",3,0.0,5,1.7,0,2,0.0,0,2,0.0,0,0,0.0,0,0.0,0,1,1,0.3,0,0,0.0,1,0,0,View Bio
45,"Schwartzman, Juniper 45 Schwartzman, Juniper",7,0.0,27,3.9,0,2,0.0,0,0,0.0,4,8,0.5,4,0.6,4,6,10,1.4,5,0,0.0,2,2,0,View Bio
TM,Team  TM Team,16,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,23,35,58,3.6,0,0,0.0,21,0,0,
,Total,16,,3250,203.1,360,919,0.392,121,370,0.327,219,323,0.678,1060,66.25,147,484,631,39.4,229,195,12.2,261,106,51,
,Opponents,16,,3250,203.1,378,1047,0.361,92,355,0.259,158,240,0.658,1006,62.88,216,449,665,41.6,304,157,9.8,239,146,41,
