Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
at Crown (MN),11/11/23,77-45,W,31-55,0.564,4-11,0.364,11-14,0.786,6,34,40,40.0,8,17,12,2,8,77,77.0
vs Central (IA),11/15/23,57-62,L,23-66,0.348,5-26,0.192,6-11,0.545,8,31,39,39.5,18,9,10,2,4,57,67.0
vs Coe,11/17/23,63-73,L,18-61,0.295,4-19,0.211,23-31,0.742,12,26,38,39.0,19,6,10,6,8,63,65.7
vs Waldorf,11/19/23,74-70,W,24-64,0.375,5-26,0.192,21-28,0.75,12,31,43,40.0,16,10,11,2,8,74,67.8
at Buena Vista,11/21/23,79-68,W,26-58,0.448,7-20,0.35,20-24,0.833,6,28,34,38.8,21,14,15,3,7,79,70.0
vs Lake Forest,11/25/23,64-40,W,24-67,0.358,11-34,0.324,5-11,0.455,9,30,39,38.8,16,18,10,1,7,64,69.0
at Knox,11/28/23,71-55,W,23-55,0.418,7-21,0.333,18-29,0.621,8,43,51,40.6,16,16,24,4,4,71,69.3
vs Lawrence,12/02/23,58-62,L,22-55,0.4,7-18,0.389,7-8,0.875,6,33,39,40.4,9,14,19,4,5,58,67.9
vs Cornell College,12/06/23,72-65,W,26-53,0.491,11-24,0.458,9-14,0.643,6,33,39,40.2,7,16,16,4,4,72,68.3
vs Saint Benedict,12/10/23,70-63,W,26-65,0.4,9-19,0.474,9-12,0.75,9,40,49,41.1,17,12,16,4,9,70,68.5
at Wis.-Stevens Point,12/29/23,48-67,L,18-53,0.34,7-20,0.35,5-9,0.556,4,24,28,39.9,10,9,10,4,4,48,66.6
vs Keene St.,12/30/23,46-33,W,17-51,0.333,7-26,0.269,5-10,0.5,13,46,59,41.5,12,12,24,6,5,46,64.9
at Ripon,01/04/24,46-50,L,16-51,0.314,7-21,0.333,7-9,0.778,7,21,28,40.5,11,10,18,4,9,46,63.5
at Lawrence,01/06/24,59-62,L,18-60,0.3,7-28,0.25,16-25,0.64,13,28,41,40.5,11,11,13,4,10,59,63.1
vs Beloit,01/10/24,65-57,W,25-65,0.385,7-23,0.304,8-12,0.667,13,36,49,41.1,19,16,13,6,7,65,63.3
at Monmouth (IL),01/17/24,82-74,W,29-64,0.453,8-21,0.381,16-25,0.64,11,27,38,40.9,8,11,14,2,9,82,64.4
vs Ripon,01/20/24,57-74,L,20-52,0.385,9-23,0.391,8-12,0.667,9,20,29,40.2,19,10,18,7,7,57,64.0
vs Knox,01/23/24,97-91,W,34-73,0.466,11-30,0.367,18-25,0.72,11,42,53,40.9,17,16,19,2,5,97,65.8
at Illinois Col.,01/27/24,55-61,L,15-55,0.273,6-23,0.261,19-24,0.792,10,29,39,40.8,15,9,16,1,4,55,65.3
at Cornell College,01/31/24,59-44,W,23-49,0.469,3-19,0.158,10-25,0.4,11,26,37,40.6,18,8,13,1,6,59,65.0
at Lake Forest,02/03/24,62-83,L,15-49,0.306,4-17,0.235,28-41,0.683,10,26,36,40.4,19,5,24,0,7,62,64.8
vs Illinois Col.,02/07/24,78-63,W,23-57,0.404,11-27,0.407,21-27,0.778,5,28,33,40.0,15,16,15,6,11,78,65.4
at Beloit,02/14/24,52-54,L,17-53,0.321,5-19,0.263,13-16,0.813,7,30,37,39.9,23,6,19,0,7,52,64.8
vs Monmouth (IL),02/17/24,83-71,W,30-61,0.492,7-22,0.318,16-20,0.8,11,32,43,40.0,6,13,10,5,4,83,65.6
Grinnell,,-,,543-1392,0.39,169-537,0.315,319-462,0.69,217,744,961,40.0,350,284,369,80,159,1574,65.6
Opponents,,-,,558-1595,0.35,143-559,0.256,228-360,0.633,334,687,1021,42.5,432,237,345,66,205,1487,62.0
