Name,GP,PF,PF/G
"#34 Booher, Sara",24,56,2.3
"#25 Strovers, Bailey",24,47,2.0
"#10 Ware, Nikki",24,47,2.0
"#14 Lillis, Erin",24,41,1.7
"#20 Rockwell, Aiyana",24,39,1.6
"#11 Carchidi, Eva",24,25,1.0
"#24 Pierce, Carolyn",22,25,1.1
"#22 Thomas, Skylar",24,24,1.0
"#12 Stephens, Reese",23,23,1.0
"#13 Marsh, Grace",20,15,0.8
"#45 Schwartzman, Juniper",11,7,0.6
"#23 Hamzavi, Meezan",7,1,0.1
